Seedling_ID,Needle_age,Measurement,Date,Time,F700 Lvl,F735 Lvl,CFR,Concentration (mg/m^2),DOP
1,old,25,Jun/22/2025,12:06:17,130,146,1.13,326,1.6
1,old,25,Jun/22/2025,12:06:37,156,226,1.45,529,2.2
2,new,25,Jun/22/2025,12:07:18,398,423,1.06,281,2.1
2,new,25,Jun/22/2025,12:07:34,190,214,1.13,326,1.9
3,old,25,Jun/22/2025,12:07:52,234,250,1.07,288,1.4
3,old,25,Jun/22/2025,12:08:08,109,165,1.52,573,1.5
4,new,25,Jun/22/2025,12:08:29,374,402,1.08,294,1.4
4,old,25,Jun/22/2025,12:08:40,138,210,1.53,579,1.5
5,new,25,Jun/22/2025,12:09:09,220,262,1.2,370,1.4
5,old,25,Jun/22/2025,12:09:22,329,402,1.22,383,1.4
6,new,25,Jun/22/2025,12:10:21,482,525,1.09,300,1.6
6,old,25,Jun/22/2025,12:10:30,158,208,1.32,446,1.4
7,new,25,Jun/22/2025,12:10:44,369,273,0.74,78,1.4
7,old,25,Jun/22/2025,12:10:54,141,207,1.47,541,1.4
8,new,25,Jun/22/2025,12:11:15,267,311,1.17,351,1.4
8,old,25,Jun/22/2025,12:11:24,139,240,1.73,706,1.4
9,new,25,Jun/22/2025,12:11:37,133,177,1.34,459,1.5
9,old,25,Jun/22/2025,12:11:48,178,264,1.49,554,1.4
10,new,25,Jun/22/2025,12:12:12,131,181,1.38,484,1.4
10,new,25,Jun/22/2025,12:12:27,155,219,1.42,510,1.4
11,new,25,Jun/22/2025,12:12:42,260,388,1.49,554,1.4
11,old,25,Jun/22/2025,12:12:55,215,292,1.36,472,1.5
12,new,25,Jun/22/2025,12:13:19,120,120,1,243,1.5
12,old,25,Jun/22/2025,12:13:31,144,146,1.02,256,1.4
13,new,25,Jun/22/2025,12:13:46,161,153,0.95,212,1.1
13,old,25,Jun/22/2025,12:14:12,135,186,1.38,484,1.2
14,new,25,Jun/22/2025,12:15:43,203,181,0.89,174,1.2
14,old,25,Jun/22/2025,12:15:58,189,250,1.33,453,1.2
15,new,25,Jun/22/2025,12:17:00,152,90,0.6,0,1.2
15,old,25,Jun/22/2025,12:17:18,148,161,1.09,300,1.2
16,new,25,Jun/22/2025,12:17:34,175,193,1.1,307,1.3
16,old,25,Jun/22/2025,12:17:48,225,327,1.45,529,1.2
17,new,25,Jun/22/2025,12:18:00,161,151,0.94,205,1.2
17,old,25,Jun/22/2025,12:18:12,116,137,1.19,364,1.1
18,new,25,Jun/22/2025,12:18:36,193,226,1.17,351,1.2
18,old,25,Jun/22/2025,12:18:46,183,238,1.3,434,1.1
19,new,25,Jun/22/2025,12:19:02,287,203,0.71,59,1.5
19,old,25,Jun/22/2025,12:19:34,269,322,1.2,370,1.2
20,old,25,Jun/22/2025,12:19:45,137,114,0.84,142,1.2
20,old,25,Jun/22/2025,12:20:07,360,545,1.51,567,1.2
21,old,25,Jun/22/2025,12:20:21,138,224,1.63,643,1.2
21,old,25,Jun/22/2025,12:20:34,126,132,1.05,275,1.2
22,new,25,Jun/22/2025,12:20:46,303,353,1.17,351,1.2
22,old,25,Jun/22/2025,12:20:59,248,386,1.56,598,1.2
23,new,25,Jun/22/2025,12:21:19,362,391,1.08,294,1.2
23,old,25,Jun/22/2025,12:21:32,127,172,1.36,472,1.2
24,new,25,Jun/22/2025,12:21:45,175,158,0.91,186,1.2
24,new,25,Jun/22/2025,12:25:26,350,459,1.31,440,1.2
25,new,25,Jun/22/2025,12:25:43,214,221,1.03,262,1.2
25,old,25,Jun/22/2025,12:26:30,131,177,1.36,472,1.3
26,new,25,Jun/22/2025,12:26:43,276,341,1.24,395,1.2
26,old,25,Jun/22/2025,12:26:53,131,167,1.28,421,1.2
27,new,25,Jun/22/2025,12:27:15,423,534,1.26,408,1.2
27,old,25,Jun/22/2025,12:27:31,274,417,1.53,579,1.2
28,new,25,Jun/22/2025,12:27:42,150,163,1.09,300,1.2
28,old,25,Jun/22/2025,12:27:58,283,398,1.41,503,1.2
29,new,25,Jun/22/2025,12:28:16,383,402,1.05,275,1.3
29,old,25,Jun/22/2025,12:28:38,91,160,1.76,725,1.3
30,new,25,Jun/22/2025,12:28:48,313,296,0.95,212,1.2
30,old,25,Jun/22/2025,12:28:59,125,196,1.57,605,1.2
31,new,25,Jun/22/2025,12:29:15,180,154,0.86,155,1.2
31,old,25,Jun/22/2025,12:29:50,126,121,0.97,224,1.2
32,new,25,Jun/22/2025,12:30:31,167,160,0.96,218,1.2
32,old,25,Jun/22/2025,12:30:41,181,235,1.3,434,1.2
33,new,25,Jun/22/2025,12:30:59,136,120,0.88,167,1.3
33,old,25,Jun/22/2025,12:31:16,265,205,0.78,104,1.1
34,old,25,Jun/22/2025,12:31:33,487,487,1,243,1.3
34,old,25,Jun/22/2025,12:31:42,108,151,1.4,497,1.3
35,new,25,Jun/22/2025,12:32:00,314,320,1.02,256,1.2
35,old,25,Jun/22/2025,12:32:10,142,165,1.16,345,1.2
36,new,25,Jun/22/2025,12:32:38,209,243,1.17,351,1.2
36,old,25,Jun/22/2025,12:32:57,101,154,1.53,579,1.2
37,new,25,Jun/22/2025,12:33:50,134,144,1.08,294,1.2
37,old,25,Jun/22/2025,12:34:03,227,322,1.42,510,1.2
38,new,25,Jun/22/2025,12:34:19,303,280,0.93,199,1.2
38,old,25,Jun/22/2025,12:34:29,187,294,1.57,605,1.3
39,new,25,Jun/22/2025,12:34:43,264,285,1.08,294,1.2
39,old,25,Jun/22/2025,12:35:05,145,168,1.16,345,1.2
40,new,25,Jun/22/2025,12:35:23,339,383,1.13,326,1.2
40,old,25,Jun/22/2025,12:35:48,160,195,1.22,383,1.2
41,new,25,Jun/22/2025,12:36:05,151,109,0.73,72,1.2
41,old,25,Jun/22/2025,12:36:19,168,207,1.23,389,1.3
42,new,25,Jun/22/2025,12:36:34,234,252,1.08,294,1.2
42,old,25,Jun/22/2025,12:36:50,239,301,1.26,408,1.3
43,old,25,Jun/22/2025,12:37:04,250,350,1.4,497,1.2
43,old,25,Jun/22/2025,12:37:13,388,546,1.41,503,1.2
44,old,25,Jun/22/2025,12:37:54,197,273,1.39,491,1
44,old,25,Jun/22/2025,12:38:09,201,275,1.37,478,1
45,new,25,Jun/22/2025,12:38:36,385,367,0.95,212,1
45,old,25,Jun/22/2025,12:38:46,154,226,1.47,541,0.8
46,new,25,Jun/22/2025,12:39:24,286,334,1.17,351,0.9
