Seedling_ID,Needle_age,Measurement,Date,Time,F700 Lvl,F735 Lvl,CFR,Concentration (mg/m^2),DOP
1,old,45,Jun/24/2025,12:44:12,358,386,1.08,294,
1,old,45,Jun/24/2025,12:44:21,196,250,1.28,421,
2,new,45,Jun/24/2025,12:44:36,355,325,0.92,193,
2,new,45,Jun/24/2025,12:44:48,437,474,1.09,300,
3,old,45,Jun/24/2025,12:45:01,389,383,0.99,237,
3,old,45,Jun/24/2025,12:45:10,263,225,0.86,155,
4,new,45,Jun/24/2025,12:45:29,303,260,0.86,155,
4,old,45,Jun/24/2025,12:45:40,127,183,1.45,529,
5,new,45,Jun/24/2025,12:45:50,137,131,0.96,218,
5,old,45,Jun/24/2025,12:46:00,179,234,1.31,440,
6,new,45,Jun/24/2025,12:46:16,207,176,0.85,148,
6,old,45,Jun/24/2025,12:46:29,252,309,1.23,389,
7,new,45,Jun/24/2025,12:46:43,311,220,0.71,59,
7,old,45,Jun/24/2025,12:47:05,145,187,1.29,427,
8,new,45,Jun/24/2025,12:47:16,251,241,0.96,218,
8,old,45,Jun/24/2025,12:47:24,151,187,1.24,395,
9,new,45,Jun/24/2025,12:47:40,171,206,1.21,376,
9,old,45,Jun/24/2025,12:48:04,111,150,1.36,472,
10,new,45,Jun/24/2025,12:48:19,350,495,1.41,503,008.8
10,new,45,Jun/24/2025,12:48:28,168,236,1.41,503,007.6
11,new,45,Jun/24/2025,12:48:43,291,344,1.18,357,005.6
11,old,45,Jun/24/2025,12:48:53,219,290,1.33,453,005.5
12,new,45,Jun/24/2025,12:49:05,107,83,0.78,104,005.5
12,old,45,Jun/24/2025,12:49:48,215,243,1.13,326,005.3
13,new,45,Jun/24/2025,12:50:10,939,780,0.83,136,007.3
13,old,45,Jun/24/2025,12:50:31,202,258,1.28,421,005.2
14,new,45,Jun/24/2025,12:50:46,172,155,0.91,186,005.1
14,old,45,Jun/24/2025,12:51:08,366,475,1.3,434,002.7
15,new,45,Jun/24/2025,12:51:28,313,246,0.79,110,002.7
15,old,45,Jun/24/2025,12:51:51,238,241,1.01,250,002.7
16,new,45,Jun/24/2025,12:52:10,354,435,1.23,389,002.7
16,old,45,Jun/24/2025,12:52:26,370,474,1.28,421,002.7
17,new,45,Jun/24/2025,12:52:40,435,351,0.81,123,002.7
17,old,45,Jun/24/2025,12:52:55,213,276,1.3,434,002.0
18,new,45,Jun/24/2025,12:53:16,569,537,0.94,205,002.0
18,old,45,Jun/24/2025,12:53:27,143,157,1.1,307,002.0
19,new,45,Jun/24/2025,12:53:39,232,197,0.85,148,002.0
19,old,45,Jun/24/2025,12:53:52,292,309,1.06,281,002.0
