Seedling_ID,Needle-age,Measurement,Date,Time,F700 Lvl,F735 Lvl,CFR,Concentration (mg/m^2),DOP
20,old,rec1,Jun/24/2025,9:59:07,280,372,1.33,453,
20,old,rec1,Jun/24/2025,9:59:22,176,255,1.45,529,
21,old,rec1,Jun/24/2025,9:59:31,240,332,1.39,491,
21,old,rec1,Jun/24/2025,9:59:41,309,432,1.4,497,
22,new,rec1,Jun/24/2025,9:59:49,451,523,1.16,345,1.7
22,old,rec1,Jun/24/2025,9:59:57,326,502,1.54,586,1.7
23,new,rec1,Jun/24/2025,10:00:09,168,204,1.22,383,1.7
23,old,rec1,Jun/24/2025,10:00:24,229,302,1.32,446,1.7
24,new,rec1,Jun/24/2025,10:00:39,262,293,1.12,319,1.3
24,new,rec1,Jun/24/2025,10:00:50,146,134,0.92,193,1.3
25,new,rec1,Jun/24/2025,10:01:01,689,575,0.84,142,1.3
25,old,rec1,Jun/24/2025,10:01:22,157,201,1.28,421,1.3
26,new,rec1,Jun/24/2025,10:01:38,198,227,1.15,338,1.1
26,old,rec1,Jun/24/2025,10:01:49,228,327,1.44,522,1.1
27,new,rec1,Jun/24/2025,10:02:01,224,229,1.02,256,1
27,old,rec1,Jun/24/2025,10:02:17,285,402,1.41,503,1
28,new,rec1,Jun/24/2025,10:02:33,175,159,0.91,186,1
28,old,rec1,Jun/24/2025,10:02:43,409,502,1.23,389,1
29,new,rec1,Jun/24/2025,10:03:09,640,545,0.85,148,1
29,old,rec1,Jun/24/2025,10:03:17,163,290,1.78,738,1
30,new,rec1,Jun/24/2025,10:03:31,210,201,0.96,218,1
30,old,rec1,Jun/24/2025,10:03:42,160,216,1.36,472,1
31,new,rec1,Jun/24/2025,10:03:53,220,223,1.02,256,1
31,old,rec1,Jun/24/2025,10:04:06,220,264,1.2,370,1.5
32,new,rec1,Jun/24/2025,10:04:23,154,139,0.91,186,1
32,old,rec1,Jun/24/2025,10:04:32,171,264,1.55,592,1
33,new,rec1,Jun/24/2025,10:04:51,136,124,0.91,186,1
33,old,rec1,Jun/24/2025,10:05:00,210,173,0.82,129,1
34,old,rec1,Jun/24/2025,10:05:15,471,453,0.96,218,1
34,old,rec1,Jun/24/2025,10:05:24,137,190,1.39,491,1
35,new,rec1,Jun/24/2025,10:05:40,303,248,0.82,129,0.9
35,old,rec1,Jun/24/2025,10:05:51,161,215,1.34,459,0.9
36,new,rec1,Jun/24/2025,10:06:16,335,337,1.01,250,0.9
36,old,rec1,Jun/24/2025,10:06:24,207,325,1.57,605,0.9
37,new,rec1,Jun/24/2025,10:06:36,408,402,0.99,237,0.9
37,old,,,,,,,,
