Seedling_ID,Needle_age,Measurement,Date,Time,F700 Lvl,F735 Lvl,CFR,Concentration (mg/m^2),DOP
1,old,rec1,Jun/25/2025,9:46:17,272,249,0.92,193,
1,old,rec1,Jun/25/2025,9:46:27,334,449,1.35,465,
2,new,rec1,Jun/25/2025,9:46:49,219,266,1.22,383,
2,new,rec1,Jun/25/2025,9:47:04,270,270,1,243,3
3,old,rec1,Jun/25/2025,9:47:17,155,147,0.95,212,2.9
3,old,rec1,Jun/25/2025,9:47:38,177,220,1.25,402,2.9
4,new,rec1,Jun/25/2025,9:47:55,194,169,0.87,161,2.6
4,old,rec1,Jun/25/2025,9:48:05,156,239,1.53,579,2.6
5,new,rec1,Jun/25/2025,9:48:16,187,191,1.02,256,2.6
5,old,rec1,Jun/25/2025,9:48:34,130,164,1.26,408,1.3
6,new,rec1,Jun/25/2025,9:48:45,273,280,1.03,262,2.5
6,old,rec1,Jun/25/2025,9:49:03,130,155,1.2,370,1.1
8,new,rec1,Jun/25/2025,9:49:14,310,335,1.08,294,1.1
8,old,rec1,Jun/25/2025,9:49:23,133,213,1.61,630,1.1
9,new,rec1,Jun/25/2025,9:49:43,183,218,1.2,370,1.1
9,old,rec1,Jun/25/2025,9:49:53,123,210,1.71,693,1.1
7,new,rec1,Jun/25/2025,9:50:12,257,230,0.9,180,1.1
7,old,rec1,Jun/25/2025,9:50:24,166,259,1.57,605,1
10,new,rec1,Jun/25/2025,9:51:32,165,205,1.24,395,0.9
10,new,rec1,Jun/25/2025,9:51:44,139,172,1.24,395,0.8
11,new,rec1,Jun/25/2025,9:51:59,185,270,1.46,535,0.8
11,old,rec1,Jun/25/2025,9:52:14,131,152,1.16,345,0.9
12,new,rec1,Jun/25/2025,9:53:15,152,153,1.01,250,0.9
12,old,rec1,Jun/25/2025,9:53:26,145,160,1.11,313,0.8
13,new,rec1,Jun/25/2025,9:53:42,512,490,0.96,218,0.8
13,old,rec1,Jun/25/2025,9:53:58,124,177,1.43,516,0.8
14,new,rec1,Jun/25/2025,9:54:13,122,129,1.07,288,0.8
14,old,rec1,Jun/25/2025,9:54:38,334,382,1.15,338,0.8
15,new,rec1,Jun/25/2025,9:54:49,190,143,0.76,91,0.8
15,old,rec1,Jun/25/2025,9:55:00,105,150,1.43,516,0.8
16,new,rec1,Jun/25/2025,9:55:12,119,155,1.31,440,0.8
16,old,rec1,Jun/25/2025,9:55:25,269,403,1.5,560,0.8
17,new,rec1,Jun/25/2025,9:55:47,233,247,1.06,281,0.9
17,old,rec1,Jun/25/2025,9:55:58,213,285,1.34,459,0.9
18,new,rec1,Jun/25/2025,9:56:14,135,182,1.36,472,0.8
18,old,rec1,Jun/25/2025,9:56:31,281,328,1.17,351,0.8
19,new,rec1,Jun/25/2025,9:56:57,118,119,1.01,250,0.9
19,old,rec1,Jun/25/2025,9:57:16,167,242,1.45,529,0.9
20,old,rec2,Jun/25/2025,10:00:18,151,206,1.37,478,0.8
20,old,rec2,Jun/25/2025,10:00:36,136,107,0.79,110,0.8
21,old,rec2,Jun/25/2025,10:00:47,191,239,1.25,402,0.8
21,old,rec2,Jun/25/2025,10:00:56,297,453,1.53,579,0.7
22,new,rec2,Jun/25/2025,10:01:09,265,331,1.25,402,0.8
22,old,rec2,Jun/25/2025,10:01:19,301,393,1.31,440,0.8
23,new,rec2,Jun/25/2025,10:01:41,282,271,0.96,218,0.7
23,old,rec2,Jun/25/2025,10:01:50,157,258,1.64,649,0.7
24,new,rec2,Jun/25/2025,10:04:44,133,170,1.29,427,0.7
24,new,rec2,Jun/25/2025,10:04:53,220,227,1.03,262,0.7
25,new,rec2,Jun/25/2025,10:05:02,289,282,0.98,231,0.7
25,old,rec2,Jun/25/2025,10:05:11,211,295,1.4,497,0.7
26,new,rec2,Jun/25/2025,10:05:37,149,189,1.27,414,0.7
26,old,rec2,Jun/25/2025,10:05:47,129,189,1.47,541,0.8
27,new,rec2,Jun/25/2025,10:05:58,118,152,1.29,427,0.7
27,old,rec2,Jun/25/2025,10:06:06,231,311,1.35,465,0.9
28,new,rec2,Jun/25/2025,10:06:17,139,126,0.91,186,0.8
28,old,rec2,Jun/25/2025,10:06:25,206,271,1.32,446,0.8
29,new,rec2,Jun/25/2025,10:08:20,525,441,0.84,142,0.9
29,old,rec2,Jun/25/2025,10:08:30,125,206,1.66,662,0.9
30,new,rec2,Jun/25/2025,10:08:38,192,215,1.12,319,0.8
30,old,rec2,Jun/25/2025,10:08:47,117,179,1.53,579,0.8
31,new,rec2,Jun/25/2025,10:08:56,370,391,1.06,281,1
31,old,rec2,Jun/25/2025,10:09:20,265,292,1.1,307,0.8
32,new,rec2,Jun/25/2025,10:11:37,260,246,0.95,212,0.8
32,old,rec2,Jun/25/2025,10:11:49,210,234,1.12,319,0.9
33,new,rec2,Jun/25/2025,10:12:01,150,164,1.09,300,0.8
33,old,rec2,Jun/25/2025,10:12:09,189,167,0.89,174,0.9
34,old,rec2,Jun/25/2025,10:14:08,391,401,1.03,262,0.8
34,old,rec2,Jun/25/2025,10:14:16,119,182,1.54,586,0.9
35,new,rec2,Jun/25/2025,10:14:41,145,165,1.14,332,0.8
35,old,rec2,Jun/25/2025,10:14:53,133,206,1.56,598,0.8
36,new,,,,,,,,
36,old,,,,,,,,
37,new,,,,,,,,
37,old,,,,,,,,
