Seedling_ID,Needle_age,measurement,Date,Time,F700 Lvl,F735 Lvl,CFR,Concentration (mg/m^2),DOP
1,old,rec7,Jun/30/2025,12:43:52,263,286,1.1,309,
1,old,rec7,Jun/30/2025,12:44:16,232,243,1.05,277,2.6
2,new,rec7,Jun/30/2025,12:44:38,513,517,1.01,250,1.5
2,new,rec7,Jun/30/2025,12:45:10,375,399,1.07,288,1.5
3,old,rec7,Jun/30/2025,12:45:31,200,206,1.03,262,1.5
3,old,rec7,Jun/30/2025,12:45:40,121,152,1.26,408,1.5
4,new,rec7,Jun/30/2025,12:45:53,212,184,0.87,161,1.5
4,old,rec7,Jun/30/2025,12:46:06,206,332,1.61,630,1.5
5,new,rec7,Jun/30/2025,12:46:15,220,259,1.18,357,1.5
5,old,rec7,Jun/30/2025,12:46:28,251,286,1.14,332,1.5
6,new,rec7,Jun/30/2025,12:46:47,310,328,1.06,281,1.3
6,old,rec7,Jun/30/2025,12:46:56,121,126,1.04,269,1.3
7,new,rec7,Jun/30/2025,12:47:07,354,289,0.82,129,1.3
7,old,rec7,Jun/30/2025,12:47:16,219,318,1.45,529,1.3
8,new,rec7,Jun/30/2025,12:47:25,269,289,1.08,294,1.3
8,old,rec7,Jun/30/2025,12:47:34,121,207,1.72,700,1.3
9,new,rec7,Jun/30/2025,12:47:47,380,465,1.23,389,1.3
9,old,rec7,Jun/30/2025,12:47:57,159,216,1.36,472,1.3
10,new,rec7,Jun/30/2025,12:48:11,164,200,1.22,383,1.3
10,new,rec7,Jun/30/2025,12:48:23,140,170,1.22,383,1.3
11,new,rec7,Jun/30/2025,12:48:34,368,552,1.5,560,1.4
11,old,rec7,Jun/30/2025,12:48:48,304,449,1.48,548,1.3
12,new,rec7,Jun/30/2025,12:49:03,233,191,0.82,129,1.3
12,old,rec7,Jun/30/2025,12:49:13,273,326,1.2,370,1.3
13,new,rec7,Jun/30/2025,12:49:27,553,479,0.87,161,1.3
13,old,rec7,Jun/30/2025,12:49:42,221,305,1.38,484,1.1
14,new,rec7,Jun/30/2025,12:50:04,170,184,1.09,300,1.1
14,old,rec7,Jun/30/2025,12:50:22,184,241,1.31,440,1.5
15,new,rec7,Jun/30/2025,12:50:37,322,314,0.98,231,1.1
15,old,rec7,Jun/30/2025,12:50:45,187,254,1.36,472,1.1
16,new,rec7,Jun/30/2025,12:51:01,299,350,1.17,351,1.1
16,old,rec7,Jun/30/2025,12:51:14,252,376,1.49,554,0.9
17,new,rec7,Jun/30/2025,12:51:40,398,355,0.89,174,1.1
17,old,rec7,Jun/30/2025,12:52:41,210,302,1.44,522,1.2
18,new,rec7,Jun/30/2025,12:52:57,294,286,0.97,224,0.9
18,old,rec7,Jun/30/2025,12:53:15,304,401,1.32,446,0.9
19,new,rec7,Jun/30/2025,12:53:28,372,369,0.99,237,1
19,old,rec7,Jun/30/2025,12:53:43,121,127,1.06,281,0.9
20,old,rec7,Jun/30/2025,12:54:03,213,213,1,243,0.9
20,old,rec7,Jun/30/2025,12:54:16,202,259,1.28,421,1
21,old,rec7,Jun/30/2025,12:54:25,270,399,1.48,548,1.2
21,old,rec7,Jun/30/2025,12:54:36,233,339,1.46,535,1.2
22,new,rec7,Jun/30/2025,12:54:46,205,245,1.2,370,1.2
22,old,rec7,Jun/30/2025,12:54:58,192,298,1.55,592,1.5
23,new,rec7,Jun/30/2025,12:55:11,315,335,1.07,288,1.2
23,old,rec7,Jun/30/2025,12:55:18,182,305,1.68,674,1.3
24,new,rec7,Jun/30/2025,12:55:32,219,246,1.13,326,1.2
24,new,rec7,Jun/30/2025,12:55:44,200,234,1.17,351,1
25,new,rec7,Jun/30/2025,12:55:54,307,222,0.72,66,1
25,old,rec7,Jun/30/2025,12:56:23,461,584,1.27,414,1
26,new,rec7,Jun/30/2025,12:56:32,407,529,1.3,434,1.2
26,old,rec7,Jun/30/2025,12:56:42,412,341,0.83,136,1.2
27,new,rec7,Jun/30/2025,12:56:56,266,328,1.24,395,1.2
27,old,rec7,Jun/30/2025,12:57:24,151,198,1.32,446,1
28,new,rec7,Jun/30/2025,12:57:35,227,248,1.1,307,1.2
28,old,rec7,Jun/30/2025,12:57:44,303,383,1.27,414,1
29,new,rec7,Jun/30/2025,12:58:23,261,209,0.8,117,1.2
29,old,rec7,Jun/30/2025,12:58:32,212,319,1.51,567,1.2
30,new,rec7,Jun/30/2025,12:58:47,289,305,1.06,281,1.2
30,old,rec7,Jun/30/2025,12:58:59,154,209,1.36,472,1
31,new,rec7,Jun/30/2025,12:59:14,443,431,0.97,224,0.9
31,old,rec7,Jun/30/2025,12:59:41,154,191,1.25,402,0.8
32,new,rec7,Jun/30/2025,12:59:55,452,385,0.85,148,0.9
32,old,rec7,Jun/30/2025,13:00:12,180,286,1.59,617,0.8
33,new,rec7,Jun/30/2025,13:00:24,246,255,1.04,269,0.8
33,old,rec7,Jun/30/2025,13:00:35,279,222,0.8,117,1
34,old,rec7,Jun/30/2025,13:00:56,569,660,1.16,345,0.9
34,old,rec7,Jun/30/2025,13:01:39,246,238,0.97,224,0.8
35,new,rec7,Jun/30/2025,13:01:52,410,399,0.98,231,0.9
35,old,rec7,Jun/30/2025,13:02:05,131,183,1.4,497,0.9
36,new,rec7,Jun/30/2025,13:02:21,186,167,0.9,180,0.9
36,old,rec7,Jun/30/2025,13:02:31,199,257,1.29,427,0.8
37,new,rec7,Jun/30/2025,13:02:41,284,213,0.75,85,0.9
37,old,rec7,Jun/30/2025,13:03:04,121,154,1.28,421,1.2
38,new,rec7,Jun/30/2025,13:03:15,204,206,1.01,250,0.9
38,old,rec7,Jun/30/2025,13:03:36,160,241,1.51,567,0.9
39,new,rec7,Jun/30/2025,13:03:49,405,406,1,243,0.9
39,old,rec7,Jun/30/2025,13:04:03,211,300,1.42,510,1
40,new,rec7,Jun/30/2025,13:04:14,157,190,1.21,376,0.9
40,old,rec7,Jun/30/2025,13:04:24,245,310,1.27,414,1
41,new,rec7,Jun/30/2025,13:04:33,275,298,1.09,300,0.9
41,old,rec7,Jun/30/2025,13:04:44,393,554,1.41,503,1
42,new,rec7,Jun/30/2025,13:04:56,253,257,1.02,256,1
42,old,rec7,Jun/30/2025,13:05:14,115,161,1.41,503,1.4
43,old,rec7,Jun/30/2025,13:05:25,163,225,1.38,484,1.2
43,old,rec7,Jun/30/2025,13:05:34,242,344,1.42,510,0.9
44,old,rec7,Jun/30/2025,13:05:45,459,525,1.15,338,1
44,old,rec7,Jun/30/2025,13:05:52,463,739,1.6,624,1
45,new,rec7,Jun/30/2025,13:06:02,781,772,0.99,237,0.9
45,old,rec7,Jun/30/2025,13:06:12,178,252,1.42,510,0.9
46,new,rec7,Jun/30/2025,13:06:27,148,127,0.86,155,0.9
46,old,rec7,Jun/30/2025,13:07:34,161,229,1.42,510,0.9
47,old,rec7,Jun/30/2025,13:07:56,249,366,1.47,541,0.8
47,old,rec7,Jun/30/2025,13:08:24,164,163,1,243,1
48,new,rec7,Jun/30/2025,13:08:43,198,167,0.84,142,0.8
48,old,rec7,Jun/30/2025,13:08:57,352,481,1.37,478,0.8
49,new,rec7,Jun/30/2025,13:09:19,222,158,0.71,59,1
49,old,rec7,Jun/30/2025,13:09:28,268,341,1.27,414,1
50,new,rec7,Jun/30/2025,13:09:39,242,312,1.29,427,0.8
50,old,rec7,Jun/30/2025,13:09:49,178,183,1.03,262,1
51,new,rec7,Jun/30/2025,13:10:04,203,255,1.26,408,1
51,old,rec7,Jun/30/2025,13:10:19,104,147,1.42,510,0.8
52,new,rec7,Jun/30/2025,13:10:45,236,303,1.29,427,0.8
52,old,rec7,Jun/30/2025,13:10:58,134,188,1.41,503,0.8
53,new,rec7,Jun/30/2025,13:11:10,301,270,0.9,180,1
53,old,rec7,Jun/30/2025,13:11:31,141,170,1.21,376,0.8
