Seedling_ID,Needle_Age,Temperature,ECI,ECF,%EL
1,old,30,32.72,137.70,23.762
1,old,40,29.87,147.50,20.251
1,old,45,23.00,122.40,18.791
1,old,50,30.38,119.30,25.465
2,new,25,9.77,89.82,10.877
2,new,35,9.60,83.17,11.543
2,new,45,13.25,84.36,15.706
2,new,50,10.66,78.78,13.531
3,old,30,20.81,86.53,24.049
3,old,40,21.73,119.40,18.199
3,old,45,19.77,111.20,17.779
3,old,50,15.67,103.00,15.214
4,new,25,20.65,126.60,16.311
4,new,35,11.36,96.42,11.782
4,new,45,12.95,98.60,13.134
4,new,50,10.47,95.92,10.915
4,old,25,10.58,51.20,20.664
4,old,35,15.66,127.50,12.282
4,old,45,18.55,144.30,12.855
4,old,50,14.81,99.01,14.958
5,new,30,9.84,111.00,8.865
5,new,40,19.49,136.10,14.320
5,new,45,29.94,132.50,22.596
5,new,50,25.34,136.60,18.551
5,old,30,14.41,74.09,19.449
5,old,40,14.05,89.05,15.778
5,old,45,31.28,111.00,28.180
5,old,50,12.28,68.64,17.890
6,new,25,17.86,92.65,19.277
6,new,35,12.30,92.07,13.359
6,new,45,14.33,111.40,12.864
6,new,50,30.86,123.40,25.008
6,old,25,48.61,109.00,44.596
6,old,35,12.73,74.57,17.071
6,old,45,15.36,102.90,14.927
6,old,50,12.10,82.03,14.751
7,new,30,22.63,149.50,15.137
7,new,40,29.91,139.60,21.426
7,new,45,18.73,131.50,14.243
7,new,50,20.24,132.70,15.252
7,old,30,31.92,123.70,25.804
7,old,40,35.40,188.40,18.790
7,old,45,26.77,152.70,17.531
7,old,50,23.31,140.00,16.650
8,new,25,16.10,127.80,12.598
8,new,35,12.25,127.20,9.631
8,new,45,24.54,112.40,21.833
8,new,50,16.47,116.20,14.174
8,old,25,19.63,81.54,24.074
8,old,35,16.56,111.60,14.839
8,old,45,21.71,171.60,12.652
8,old,50,11.40,84.70,13.459
9,new,30,11.89,48.85,24.340
9,new,40,17.31,57.00,30.368
9,new,45,16.33,54.41,30.013
9,new,50,11.65,53.00,21.981
9,old,30,12.37,47.56,26.009
9,old,40,14.71,75.78,19.411
9,old,45,18.13,62.33,29.087
9,old,50,16.07,72.80,22.074
10,new,25,14.54,71.25,20.407
