Seedling_ID,Needle_age,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,old,45,Jun/24/2025,12:33:32,413,248,661,0.375,0.6
1,old,45,Jun/24/2025,12:33:43,502,325,827,0.392,0.647
2,new,45,Jun/24/2025,12:33:54,1018,221,1239,0.178,0.217
2,new,45,Jun/24/2025,12:34:06,523,449,972,0.461,0.858
3,old,45,Jun/24/2025,12:34:15,516,611,1127,0.542,1.184
3,old,45,Jun/24/2025,12:34:23,430,702,1132,0.62,1.632
4,new,45,Jun/24/2025,12:34:37,437,527,964,0.546,1.205
4,old,45,Jun/24/2025,12:34:45,487,412,899,0.458,0.845
5,new,45,Jun/24/2025,12:34:55,441,495,936,0.528,1.122
5,old,45,Jun/24/2025,12:35:07,348,886,1234,0.717,2.545
6,new,45,Jun/24/2025,12:35:16,487,454,941,0.482,0.932
6,old,45,Jun/24/2025,12:35:25,514,531,1045,0.508,1.033
7,new,45,Jun/24/2025,12:35:35,480,431,911,0.473,0.897
7,old,45,Jun/24/2025,12:35:44,288,563,851,0.661,1.954
8,new,45,Jun/24/2025,12:35:55,422,673,1095,0.614,1.594
8,old,45,Jun/24/2025,12:36:04,362,725,1087,0.666,2.002
9,new,45,Jun/24/2025,12:36:17,505,708,1213,0.583,1.401
9,old,45,Jun/24/2025,12:36:27,57,35,92,0.38,0.614
10,new,45,Jun/24/2025,12:36:41,555,691,1246,0.554,1.245
10,new,45,Jun/24/2025,12:37:00,384,668,1052,0.634,1.739
11,new,45,Jun/24/2025,12:37:14,347,495,842,0.587,1.426
11,old,45,Jun/24/2025,12:37:23,452,799,1251,0.638,1.767
12,new,45,Jun/24/2025,12:37:32,370,87,457,0.19,0.235
12,old,45,Jun/24/2025,12:37:41,418,798,1216,0.656,1.909
13,new,45,Jun/24/2025,12:37:51,475,447,922,0.484,0.941
13,old,45,Jun/24/2025,12:38:00,198,361,559,0.645,1.823
14,new,45,Jun/24/2025,12:38:10,571,619,1190,0.52,1.084
14,old,45,Jun/24/2025,12:38:20,187,284,471,0.602,1.518
15,new,45,Jun/24/2025,12:38:29,483,375,858,0.437,0.776
15,old,45,Jun/24/2025,12:38:37,207,248,455,0.545,1.198
16,new,45,Jun/24/2025,12:38:51,388,838,1226,0.683,2.159
16,old,45,Jun/24/2025,12:39:04,322,541,863,0.626,1.68
17,new,45,Jun/24/2025,12:39:16,582,469,1051,0.446,0.805
17,old,45,Jun/24/2025,12:39:27,341,441,782,0.563,1.293
18,new,45,Jun/24/2025,12:39:37,422,548,970,0.564,1.298
18,old,45,Jun/24/2025,12:39:48,267,367,634,0.578,1.374
19,new,45,Jun/24/2025,12:39:59,466,452,918,0.492,0.969
19,old,45,Jun/24/2025,12:40:13,543,451,994,0.453,0.83
