Seedling_ID,Needle_age,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,old,rec1,Jun/25/2025,16:19:36,253,269,522,0.515,1.063
1,old,rec1,Jun/25/2025,16:19:46,127,133,260,0.511,1.047
2,new,rec1,Jun/25/2025,16:19:58,397,81,478,0.169,0.204
2,new,rec1,Jun/25/2025,16:20:09,276,428,704,0.607,1.55
3,old,rec1,Jun/25/2025,16:20:27,294,338,632,0.534,1.149
3,old,rec1,Jun/25/2025,16:20:37,225,358,583,0.614,1.591
4,new,rec1,Jun/25/2025,16:20:50,157,118,275,0.429,0.751
4,old,rec1,Jun/25/2025,16:21:00,246,300,546,0.549,1.219
5,new,rec1,Jun/25/2025,16:21:18,186,508,694,0.731,2.731
5,old,rec1,Jun/25/2025,16:21:32,182,465,647,0.718,2.554
6,old,rec1,Jun/25/2025,16:21:44,183,730,913,0.799,3.989
6,new,rec1,Jun/25/2025,16:21:58,397,287,684,0.419,0.722
7,new,rec1,Jun/25/2025,16:22:40,333,386,719,0.536,1.159
7,old,rec1,Jun/25/2025,16:22:49,223,274,497,0.551,1.228
8,new,rec1,Jun/25/2025,16:22:59,317,598,915,0.653,1.886
8,old,rec1,Jun/25/2025,16:23:09,278,627,905,0.692,2.255
9,new,rec1,Jun/25/2025,16:23:22,338,386,724,0.533,1.142
9,old,rec1,Jun/25/2025,16:23:32,290,357,647,0.551,1.231
10,new,rec1,Jun/25/2025,16:23:44,240,122,362,0.337,0.508
10,new,rec1,Jun/25/2025,16:23:56,74,113,187,0.604,1.527
11,new,rec1,Jun/25/2025,16:24:10,157,270,427,0.632,1.719
11,old,rec1,Jun/25/2025,16:24:21,249,582,831,0.7,2.337
12,new,rec1,Jun/25/2025,16:24:36,129,30,159,0.188,0.232
12,old,rec1,Jun/25/2025,16:25:01,90,240,330,0.727,2.666
13,new,rec1,Jun/25/2025,16:25:15,203,115,318,0.361,0.566
13,old,rec1,Jun/25/2025,16:25:28,215,409,624,0.655,1.902
14,new,rec1,Jun/25/2025,16:25:41,189,81,270,0.3,0.428
14,old,rec1,Jun/25/2025,16:25:56,273,599,872,0.686,2.194
15,new,rec1,Jun/25/2025,16:26:07,308,444,752,0.59,1.441
15,old,rec1,Jun/25/2025,16:26:16,182,506,688,0.735,2.78
16,new,rec1,Jun/25/2025,16:26:31,313,1112,1425,0.78,3.552
16,old,rec1,Jun/25/2025,16:26:43,98,526,624,0.842,5.367
17,new,rec1,Jun/25/2025,16:26:55,193,108,301,0.358,0.559
17,old,rec1,Jun/25/2025,16:27:05,122,81,203,0.399,0.663
18,new,rec1,Jun/25/2025,16:27:19,160,155,315,0.492,0.968
18,old,rec1,Jun/25/2025,16:27:40,235,619,854,0.724,2.634
19,new,rec1,Jun/25/2025,16:27:56,211,51,262,0.194,0.241
19,old,rec1,Jun/25/2025,16:28:10,254,443,697,0.635,1.744
20,old,rec2,Jun/25/2025,16:28:25,117,381,498,0.765,3.256
20,old,rec2,Jun/25/2025,16:28:41,162,331,493,0.671,2.043
21,old,rec2,Jun/25/2025,16:28:54,148,453,601,0.753,3.06
21,old,rec2,Jun/25/2025,16:29:09,182,628,810,0.775,3.45
22,new,rec2,Jun/25/2025,16:29:20,248,724,972,0.744,2.919
22,old,rec2,Jun/25/2025,16:29:33,177,645,822,0.784,3.644
23,new,rec2,Jun/25/2025,16:29:45,150,444,594,0.747,2.96
23,old,rec2,Jun/25/2025,16:29:56,169,724,893,0.81,4.284
24,new,rec2,Jun/25/2025,16:30:10,284,767,1051,0.729,2.7
24,new,rec2,Jun/25/2025,16:30:21,196,836,1032,0.81,4.265
25,new,rec2,Jun/25/2025,16:30:32,246,493,739,0.667,2.004
25,old,rec2,Jun/25/2025,16:30:43,160,344,504,0.682,2.15
26,new,rec2,Jun/25/2025,16:30:56,144,58,202,0.287,0.402
26,old,rec2,Jun/25/2025,16:31:10,263,464,727,0.638,1.764
27,new,rec2,Jun/25/2025,16:31:24,154,433,587,0.737,2.811
27,old,rec2,Jun/25/2025,16:31:42,221,913,1134,0.805,4.131
28,new,rec2,Jun/25/2025,16:31:55,154,475,629,0.755,3.084
28,old,rec2,Jun/25/2025,16:32:11,225,567,792,0.715,2.52
29,new,rec2,Jun/25/2025,16:32:22,224,408,632,0.645,1.821
29,old,rec2,Jun/25/2025,16:32:31,227,654,881,0.742,2.881
30,new,rec2,Jun/25/2025,16:32:40,389,919,1308,0.702,2.362
30,old,rec2,Jun/25/2025,16:32:51,223,604,827,0.73,2.708
