Sample Number,Seedling_ID,Elev,Genotype,Micro,Needle_age,Prev_trmt,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,1,high,g,uninoc,old,high,rec7,Jul/11/2025,14:09:11,234,872,1106,0.788,3.726
2,1,high,g,uninoc,old,high,rec7,Jul/11/2025,14:09:18,141,444,585,0.758,3.148
3,2,high,h,inoc,new,high,rec7,Jul/11/2025,14:09:30,187,599,786,0.762,3.203
4,2,high,h,inoc,new,high,rec7,Jul/11/2025,14:09:38,165,682,847,0.805,4.133
5,3,low,k,uninoc,old,high,rec7,Jul/11/2025,14:09:48,162,663,825,0.803,4.092
6,3,low,k,uninoc,old,high,rec7,Jul/11/2025,14:09:58,87,340,427,0.796,3.908
7,4,low,k,uninoc,new,high,rec7,Jul/11/2025,14:10:10,201,500,701,0.713,2.487
8,4,low,k,uninoc,old,high,rec7,Jul/11/2025,14:10:19,177,745,922,0.808,4.209
9,5,high,g,uninoc,new,high,rec7,Jul/11/2025,14:10:28,149,491,640,0.767,3.295
10,5,high,g,uninoc,old,high,rec7,Jul/11/2025,14:10:40,83,406,489,0.83,4.891
11,6,high,h,uninoc,old,high,rec7,Jul/11/2025,14:10:50,105,371,476,0.779,3.533
12,6,high,h,uninoc,new,high,rec7,Jul/11/2025,14:10:59,198,866,1064,0.813,4.373
13,7,low,k,uninoc,new,high,rec7,Jul/11/2025,14:11:13,206,642,848,0.757,3.116
14,7,low,k,uninoc,old,high,rec7,Jul/11/2025,14:11:23,151,637,788,0.808,4.218
15,8,high,h,uninoc,new,high,rec7,Jul/11/2025,14:11:31,185,636,821,0.774,3.437
16,8,high,h,uninoc,old,high,rec7,Jul/11/2025,14:11:40,216,968,1184,0.817,4.481
17,9,low,k,uninoc,new,high,rec7,Jul/11/2025,14:11:49,228,632,860,0.734,2.771
18,9,low,k,uninoc,old,high,rec7,Jul/11/2025,14:12:00,58,182,240,0.758,3.137
19,10,high,h,inoc,new,high,rec7,Jul/11/2025,14:12:11,95,379,474,0.799,3.989
20,10,high,h,inoc,new,high,rec7,Jul/11/2025,14:12:21,123,542,665,0.815,4.406
21,11,high,j,uninoc,new,high,rec7,Jul/11/2025,14:12:30,194,739,933,0.792,3.809
22,11,high,j,uninoc,old,high,rec7,Jul/11/2025,14:12:40,73,176,249,0.706,2.41
23,12,low,k,inoc,new,high,rec7,Jul/11/2025,14:12:50,132,141,273,0.516,1.068
24,12,low,k,inoc,old,high,rec7,Jul/11/2025,14:13:01,113,376,489,0.768,3.327
25,13,low,k,uninoc,new,high,rec7,Jul/11/2025,14:13:12,102,164,266,0.616,1.607
26,13,low,k,uninoc,old,high,rec7,Jul/11/2025,14:13:23,223,863,1086,0.794,3.869
27,14,low,k,inoc,new,high,rec7,Jul/11/2025,14:13:32,214,483,697,0.692,2.257
28,14,low,k,inoc,old,high,rec7,Jul/11/2025,14:13:41,64,315,379,0.831,4.921
29,15,low,k,uninoc,new,high,rec7,Jul/11/2025,14:13:51,142,371,513,0.723,2.612
30,15,low,k,uninoc,old,high,rec7,Jul/11/2025,14:13:59,106,351,457,0.768,3.311
31,16,high,i,inoc,new,high,rec7,Jul/11/2025,14:14:12,192,909,1101,0.825,4.734
32,16,high,i,inoc,old,high,rec7,Jul/11/2025,14:14:24,143,659,802,0.821,4.608
33,17,low,k,uninoc,new,high,rec7,Jul/11/2025,14:14:33,94,220,314,0.7,2.34
34,17,low,k,uninoc,old,high,rec7,Jul/11/2025,14:14:44,139,514,653,0.787,3.697
35,18,high,g,uninoc,new,high,rec7,Jul/11/2025,14:14:54,92,338,430,0.786,3.673
36,18,high,g,uninoc,old,high,rec7,Jul/11/2025,14:15:03,147,583,730,0.798,3.965
37,19,low,h,inoc,new,high,rec7,Jul/11/2025,14:15:14,154,290,444,0.653,1.883
38,19,low,h,inoc,old,high,rec7,Jul/11/2025,14:15:23,97,44,141,0.312,0.453
39,20,high,g,uninoc,old,mod,rec7,Jul/11/2025,14:15:53,108,250,358,0.698,2.314
40,20,high,g,uninoc,old,mod,rec7,Jul/11/2025,14:16:05,110,239,349,0.684,2.172
41,21,high,h,uninoc,old,mod,rec7,Jul/11/2025,14:16:14,69,169,238,0.71,2.449
42,21,high,h,uninoc,old,mod,rec7,Jul/11/2025,14:16:23,157,279,436,0.639,1.777
43,22,high,h,inoc,new,mod,rec7,Jul/11/2025,14:16:36,171,623,794,0.784,3.643
44,22,high,h,inoc,old,mod,rec7,Jul/11/2025,14:16:46,62,203,265,0.766,3.274
45,23,high,j,uninoc,new,mod,rec7,Jul/11/2025,14:16:59,125,43,168,0.255,0.344
46,23,high,j,uninoc,old,mod,rec7,Jul/11/2025,14:17:10,195,672,867,0.775,3.446
47,24,high,i,inoc,new,mod,rec7,Jul/11/2025,14:17:20,53,206,259,0.795,3.886
48,24,high,i,inoc,new,mod,rec7,Jul/11/2025,14:17:29,111,365,476,0.766,3.288
49,25,high,h,uninoc,new,mod,rec7,Jul/11/2025,14:17:39,236,735,971,0.756,3.114
50,25,high,h,uninoc,old,mod,rec7,Jul/11/2025,14:18:01,86,238,324,0.734,2.767
51,26,low,k,uninoc,new,mod,rec7,Jul/11/2025,14:18:10,215,458,673,0.68,2.13
52,26,low,k,uninoc,old,mod,rec7,Jul/11/2025,14:18:21,89,157,246,0.638,1.764
53,27,high,i,uninoc,new,mod,rec7,Jul/11/2025,14:18:30,164,662,826,0.801,4.036
54,27,high,i,uninoc,old,mod,rec7,Jul/11/2025,14:18:56,130,172,302,0.569,1.323
55,28,low,k,inoc,new,mod,rec7,Jul/11/2025,14:19:13,152,404,556,0.726,2.657
56,28,low,k,inoc,old,mod,rec7,Jul/11/2025,14:19:22,194,440,634,0.694,2.268
57,29,low,k,uninoc,new,mod,rec7,Jul/11/2025,14:19:31,197,425,622,0.683,2.157
58,29,low,k,uninoc,old,mod,rec7,Jul/11/2025,14:19:39,124,489,613,0.797,3.943
59,30,low,k,uninoc,new,mod,rec7,Jul/11/2025,14:19:51,130,370,500,0.74,2.846
60,30,low,k,uninoc,old,mod,rec7,Jul/11/2025,14:19:59,106,464,570,0.814,4.377
61,31,low,k,uninoc,new,mod,rec7,Jul/11/2025,14:20:10,187,708,895,0.791,3.786
62,31,low,k,uninoc,old,mod,rec7,Jul/11/2025,14:20:21,144,460,604,0.761,3.194
63,32,low,k,uninoc,new,mod,rec7,Jul/11/2025,14:20:31,84,180,264,0.681,2.142
64,32,low,k,uninoc,old,mod,rec7,Jul/11/2025,14:20:38,126,455,581,0.783,3.611
65,33,low,l,inoc,new,mod,rec7,Jul/11/2025,14:20:47,263,384,647,0.593,1.46
66,33,low,l,inoc,old,mod,rec7,Jul/11/2025,14:20:55,126,272,398,0.683,2.158
67,34,high,j,uninoc,old,mod,rec7,Jul/11/2025,14:21:04,70,260,330,0.787,3.714
68,34,high,j,uninoc,old,mod,rec7,Jul/11/2025,14:21:15,77,49,126,0.388,0.636
69,35,low,k,uninoc,new,mod,rec7,Jul/11/2025,14:21:28,226,599,825,0.726,2.65
70,35,low,k,uninoc,old,mod,rec7,Jul/11/2025,14:21:36,209,741,950,0.78,3.545
71,36,high,g,uninoc,new,mod,rec7,Jul/11/2025,14:21:45,193,489,682,0.717,2.533
72,36,high,g,uninoc,old,mod,rec7,Jul/11/2025,14:21:56,64,295,359,0.821,4.609
73,37,low,k,uninoc,new,mod,rec7,Jul/11/2025,14:22:08,189,522,711,0.734,2.761
74,37,low,k,uninoc,old,mod,rec7,Jul/11/2025,14:22:19,247,759,1006,0.754,3.072
75,38,high,h,inoc,new,control,rec7,Jul/11/2025,14:22:29,218,922,1140,0.808,4.229
76,38,high,h,inoc,old,control,rec7,Jul/11/2025,14:22:38,162,711,873,0.814,4.388
77,39,high,j,inoc,new,control,rec7,Jul/11/2025,14:22:51,218,740,958,0.772,3.394
78,39,high,j,inoc,old,control,rec7,Jul/11/2025,14:23:03,229,851,1080,0.787,3.716
79,40,low,n,inoc,new,control,rec7,Jul/11/2025,14:23:12,228,577,805,0.716,2.53
80,40,low,n,inoc,old,control,rec7,Jul/11/2025,14:23:23,65,175,240,0.729,2.692
81,41,low,k,uninoc,new,control,rec7,Jul/11/2025,14:23:37,60,108,168,0.642,1.8
82,41,low,k,uninoc,old,control,rec7,Jul/11/2025,14:23:46,131,517,648,0.797,3.946
83,42,high,g,uninoc,new,control,rec7,Jul/11/2025,14:24:00,58,143,201,0.711,2.465
84,42,high,g,uninoc,old,control,rec7,Jul/11/2025,14:24:10,155,608,763,0.796,3.922
85,43,high,h,uninoc,old,control,rec7,Jul/11/2025,14:24:21,98,451,549,0.821,4.602
86,43,high,h,uninoc,old,control,rec7,Jul/11/2025,14:24:33,232,824,1056,0.78,3.551
87,44,high,h,uninoc,old,control,rec7,Jul/11/2025,14:24:46,196,545,741,0.735,2.78
88,44,high,h,uninoc,old,control,rec7,Jul/11/2025,14:24:54,248,931,1179,0.789,3.754
89,45,low,k,uninoc,new,control,rec7,Jul/11/2025,14:25:04,157,374,531,0.704,2.382
90,45,low,k,uninoc,old,control,rec7,Jul/11/2025,14:25:14,79,170,249,0.682,2.151
91,46,low,k,uninoc,new,control,rec7,Jul/11/2025,14:25:45,45,32,77,0.415,0.711
92,46,low,k,uninoc,old,control,rec7,Jul/11/2025,14:25:56,74,200,274,0.729,2.702
93,47,high,j,uninoc,old,control,rec7,Jul/11/2025,14:26:22,104,130,234,0.555,1.25
94,47,high,j,uninoc,old,control,rec7,Jul/11/2025,14:26:30,183,496,679,0.73,2.71
95,48,low,k,uninoc,new,control,rec7,Jul/11/2025,14:26:46,185,424,609,0.696,2.291
96,48,low,k,uninoc,old,control,rec7,Jul/11/2025,14:26:56,213,826,1039,0.794,3.877
97,49,low,k,inoc,new,control,rec7,Jul/11/2025,14:27:05,141,49,190,0.257,0.347
98,49,low,k,inoc,old,control,rec7,Jul/11/2025,14:27:18,216,500,716,0.698,2.314
99,50,low,k,uninoc,new,control,rec7,Jul/11/2025,14:27:31,158,561,719,0.78,3.55
100,50,low,k,uninoc,old,control,rec7,Jul/11/2025,14:27:40,80,344,424,0.811,4.3
101,51,high,i,inoc,new,control,rec7,Jul/11/2025,14:27:50,51,123,174,0.706,2.411
102,51,high,i,inoc,old,control,rec7,Jul/11/2025,14:27:58,139,506,645,0.784,3.64
103,52,low,k,uninoc,old,control,rec7,Jul/11/2025,14:28:07,155,426,581,0.733,2.748
104,52,low,k,uninoc,old,control,rec7,Jul/11/2025,14:28:17,121,405,526,0.769,3.347
105,53,low,k,uninoc,new,control,rec7,Jul/11/2025,14:28:27,293,678,971,0.698,2.313
106,53,low,k,uninoc,old,control,rec7,Jul/11/2025,14:28:37,175,130,305,0.426,0.742
107,54,high,g,uninoc,new,control,rec7,Jul/11/2025,14:28:46,157,362,519,0.697,2.305
108,54,high,g,uninoc,old,control,rec7,Jul/11/2025,14:28:54,196,489,685,0.713,2.494
109,55,high,h,uninoc,new,control,rec7,Jul/11/2025,14:29:03,185,503,688,0.731,2.718
110,55,high,h,uninoc,old,control,rec7,Jul/11/2025,14:29:11,137,374,511,0.731,2.729
111,56,low,m,inoc,old,control,rec7,Jul/11/2025,14:29:19,62,130,192,0.677,2.096
112,56,low,m,inoc,old,control,rec7,Jul/11/2025,14:29:30,208,327,535,0.611,1.572
113,57,high,g,uninoc,old,control,rec7,Jul/11/2025,14:30:13,66,91,157,0.579,1.378
114,57,high,g,uninoc,old,control,rec7,Jul/11/2025,14:30:22,141,37,178,0.207,0.262
