Sample Number,Seedling_ID,Elev,Genotype,Micro,Age,Prev_trmt,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,1,high,g,uninoc,old,high,0,Jul/04/2025,13:16:24,150,131,281,0.466,0.873
2,1,high,g,uninoc,old,high,0,Jul/04/2025,13:16:34,280,409,689,0.593,1.46
3,2,high,h,inoc,new,high,0,Jul/04/2025,13:16:45,132,406,538,0.754,3.075
4,2,high,h,inoc,new,high,0,Jul/04/2025,13:16:57,101,385,486,0.792,3.811
5,3,low,k,uninoc,old,high,0,Jul/04/2025,13:17:09,157,419,576,0.727,2.668
6,3,low,k,uninoc,old,high,0,Jul/04/2025,13:17:20,105,304,409,0.743,2.895
7,4,low,k,uninoc,new,high,0,Jul/04/2025,13:17:37,148,278,426,0.652,1.878
8,4,low,k,uninoc,old,high,0,Jul/04/2025,13:17:46,203,712,915,0.778,3.507
9,5,high,g,uninoc,new,high,0,Jul/04/2025,13:17:58,251,734,985,0.745,2.924
10,5,high,g,uninoc,old,high,0,Jul/04/2025,13:18:12,80,387,467,0.828,4.837
11,6,high,h,uninoc,old,high,0,Jul/04/2025,13:18:38,126,203,329,0.617,1.611
12,6,high,h,uninoc,new,high,0,Jul/04/2025,13:18:48,199,518,717,0.722,2.603
13,7,low,k,uninoc,new,high,0,Jul/04/2025,13:18:58,193,384,577,0.665,1.989
14,7,low,k,uninoc,old,high,0,Jul/04/2025,13:19:09,147,582,729,0.798,3.959
15,8,high,h,uninoc,new,high,0,Jul/04/2025,13:19:17,94,270,364,0.741,2.872
16,8,high,h,uninoc,old,high,0,Jul/04/2025,13:19:24,170,709,879,0.806,4.17
17,9,low,k,uninoc,new,high,0,Jul/04/2025,13:19:38,204,426,630,0.676,2.088
18,9,low,k,uninoc,old,high,0,Jul/04/2025,13:19:47,146,539,685,0.786,3.691
19,10,high,h,inoc,new,high,0,Jul/04/2025,13:19:58,190,728,918,0.793,3.831
20,10,high,h,inoc,new,high,0,Jul/04/2025,13:20:07,109,472,581,0.812,4.33
21,11,high,j,uninoc,new,high,0,Jul/04/2025,13:20:18,159,593,752,0.788,3.729
22,11,high,j,uninoc,old,high,0,Jul/04/2025,13:20:27,121,599,720,0.831,4.95
23,12,low,k,inoc,new,high,0,Jul/04/2025,13:20:37,236,324,560,0.578,1.372
24,12,low,k,inoc,old,high,0,Jul/04/2025,13:20:46,79,282,361,0.781,3.569
25,13,low,k,uninoc,new,high,0,Jul/04/2025,13:21:08,200,566,766,0.738,2.83
26,13,low,k,uninoc,old,high,0,Jul/04/2025,13:21:43,103,115,218,0.527,1.116
27,14,low,k,inoc,new,high,0,Jul/04/2025,13:21:53,119,423,542,0.78,3.554
