Sample Number,Seedling_ID,Elev,Genotype,Micro,Age,Prev_trmt,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,11,high,j,uninoc,new,high,3,Jul/05/2025,11:27:28,233,829,1062,0.78,3.557
2,11,high,j,uninoc,old,high,3,Jul/05/2025,11:27:37,133,549,682,0.804,4.127
3,12,low,k,inoc,new,high,3,Jul/05/2025,11:27:47,161,169,330,0.512,1.049
4,12,low,k,inoc,old,high,3,Jul/05/2025,11:27:57,97,260,357,0.728,2.68
5,13,low,k,uninoc,new,high,3,Jul/05/2025,11:28:07,197,514,711,0.722,2.609
6,13,low,k,uninoc,old,high,3,Jul/05/2025,11:28:15,183,445,628,0.708,2.431
7,14,low,k,inoc,new,high,3,Jul/05/2025,11:28:34,236,325,561,0.579,1.377
8,14,low,k,inoc,old,high,3,Jul/05/2025,11:28:45,124,515,639,0.805,4.153
9,15,low,k,uninoc,new,high,3,Jul/05/2025,11:28:55,145,305,450,0.677,2.103
10,15,low,k,uninoc,old,high,3,Jul/05/2025,11:29:04,97,319,416,0.766,3.288
11,16,high,i,inoc,new,high,3,Jul/05/2025,11:29:19,229,703,932,0.754,3.069
12,16,high,i,inoc,old,high,3,Jul/05/2025,11:29:32,102,526,628,0.837,5.156
13,17,low,k,uninoc,new,high,3,Jul/05/2025,11:29:42,211,366,577,0.634,1.734
14,17,low,k,uninoc,old,high,3,Jul/05/2025,11:29:55,205,414,619,0.668,2.019
15,18,high,g,uninoc,new,high,3,Jul/05/2025,11:30:04,42,93,135,0.688,2.214
16,18,high,g,uninoc,old,high,3,Jul/05/2025,11:30:19,106,346,452,0.765,3.264
17,19,low,h,inoc,new,high,3,Jul/05/2025,11:30:32,207,357,564,0.632,1.724
18,19,low,h,inoc,old,high,3,Jul/05/2025,11:30:45,96,198,294,0.673,2.062
19,20,high,g,uninoc,old,mod,3,Jul/05/2025,11:31:01,243,627,870,0.72,2.58
20,20,high,g,uninoc,old,mod,3,Jul/05/2025,11:31:11,85,291,376,0.773,3.423
21,21,high,h,uninoc,old,mod,3,Jul/05/2025,11:31:21,290,736,1026,0.717,2.537
22,21,high,h,uninoc,old,mod,3,Jul/05/2025,11:31:30,144,476,620,0.767,3.305
23,22,high,h,inoc,new,mod,3,Jul/05/2025,11:31:43,175,480,655,0.732,2.742
24,22,high,h,inoc,old,mod,3,Jul/05/2025,11:31:53,293,1042,1335,0.78,3.556
25,23,high,j,uninoc,new,mod,3,Jul/05/2025,11:32:04,178,519,697,0.744,2.915
26,23,high,j,uninoc,old,mod,3,Jul/05/2025,11:32:15,225,786,1011,0.777,3.493
27,24,high,i,inoc,new,mod,3,Jul/05/2025,11:32:25,352,910,1262,0.721,2.585
28,24,high,i,inoc,new,mod,3,Jul/05/2025,11:32:35,204,742,946,0.784,3.637
29,25,high,h,uninoc,new,mod,3,Jul/05/2025,11:32:44,282,550,832,0.661,1.95
30,25,high,h,uninoc,old,mod,3,Jul/05/2025,11:32:54,112,307,419,0.732,2.741
31,26,low,k,uninoc,new,mod,3,Jul/05/2025,11:33:06,288,637,925,0.688,2.211
32,26,low,k,uninoc,old,mod,3,Jul/05/2025,11:33:15,157,455,612,0.743,2.898
33,27,high,i,uninoc,new,mod,3,Jul/05/2025,11:33:40,191,501,692,0.723,2.623
34,27,high,i,uninoc,old,mod,3,Jul/05/2025,11:33:51,277,874,1151,0.759,3.155
35,28,low,k,inoc,new,mod,3,Jul/05/2025,11:34:01,111,272,383,0.71,2.45
36,28,low,k,inoc,old,mod,3,Jul/05/2025,11:34:09,253,605,858,0.705,2.391
37,48,low,k,uninoc,new,control,3,Jul/05/2025,11:34:19,275,380,655,0.58,1.381
38,48,low,k,uninoc,old,control,3,Jul/05/2025,11:34:30,186,609,795,0.766,3.274
39,49,low,k,inoc,new,control,3,Jul/05/2025,11:34:41,140,249,389,0.64,1.778
40,49,low,k,inoc,old,control,3,Jul/05/2025,11:34:51,184,572,756,0.756,3.108
41,50,low,k,uninoc,new,control,3,Jul/05/2025,11:35:02,169,427,596,0.716,2.526
42,50,low,k,uninoc,old,control,3,Jul/05/2025,11:35:15,207,365,572,0.638,1.763
43,51,high,i,inoc,new,control,3,Jul/05/2025,11:35:30,276,754,1030,0.732,2.731
44,51,high,i,inoc,old,control,3,Jul/05/2025,11:35:39,172,643,815,0.788,3.738
45,52,low,k,uninoc,old,control,3,Jul/05/2025,11:35:51,336,717,1053,0.68,2.133
46,52,low,k,uninoc,old,control,3,Jul/05/2025,11:36:02,224,725,949,0.763,3.236
47,53,low,k,uninoc,new,control,3,Jul/05/2025,11:36:25,115,125,240,0.52,1.086
48,53,low,k,uninoc,old,control,3,Jul/05/2025,11:36:36,149,523,672,0.778,3.51
49,54,high,g,uninoc,new,control,3,Jul/05/2025,11:36:47,102,196,298,0.657,1.921
50,54,high,g,uninoc,old,control,3,Jul/05/2025,11:37:01,124,223,347,0.642,1.798
51,55,high,h,uninoc,new,control,3,Jul/05/2025,11:37:17,114,205,319,0.642,1.798
52,55,high,h,uninoc,old,control,3,Jul/05/2025,11:37:36,228,882,1110,0.794,3.868
53,56,low,m,inoc,old,control,3,Jul/05/2025,11:37:49,190,448,638,0.702,2.357
54,56,low,m,inoc,old,control,3,Jul/05/2025,11:38:00,162,541,703,0.769,3.339
55,57,high,g,uninoc,old,control,3,Jul/05/2025,11:38:22,197,114,311,0.366,0.578
56,57,high,g,uninoc,old,control,3,Jul/05/2025,11:38:34,202,432,634,0.681,2.138
