"Needle_age","Prev_trmt","Elev","emmean","SE","df","lower.CL","upper.CL"
"new","control","high",0.292304285498173,0.0639949244332586,55,0.164055591030718,0.420552979965628
"old","control","high",0.12666289856178,0.0495702553143625,44,0.0267606133443148,0.226565183779245
"new","high","high",0.143645109184899,0.0639949244332586,44,0.0146718135531312,0.272618404816668
"old","high","high",0.104368273007538,0.0639949244332586,44,-0.0246050226242303,0.233341568639306
"new","mod","high",0.189423727407369,0.0452512450282778,44,0.0982258354741682,0.28062161934057
"old","mod","high",0.119753374207524,0.0391887277473629,44,0.0407736830217845,0.198733065393264
"new","control","low",0.196462048528393,0.0554212302724674,44,0.0847678981014814,0.308156198955305
"old","control","low",0.126470320250817,0.0391887277473629,44,0.0474906290650773,0.205450011436557
"new","high","low",0.205026705704641,0.0452512450282779,44,0.11382881377144,0.296224597637842
"old","high","low",0.108269066438744,0.0452512450282778,44,0.0170711745055436,0.199466958371945
"new","mod","low",0.197753776324872,0.0783774554947259,44,0.0397943939533927,0.355713158696352
"old","mod","low",0.104462654006891,0.0783774554947258,44,-0.0534967283645886,0.262422036378371
