"Seedling_ID","ID2","Elev","Genotype","Micro","Needle_age","Prev_trmt","Trmt_2","Measurement","Date","Time","Fo","Fv","Fm","Fv.Fm","Fv.Fo","Seed_ID","time"
"11","a","high","j","uninoc","new","high","heat","7",2025-07-05,"15:30:01",364,357,721,0.495,0.98,"11 a",0
"11","b","high","j","uninoc","old","high","heat","7",2025-07-05,"15:30:09",342,153,495,0.309,0.447,"11 b",0
"12","a","low","k","inoc","new","high","heat","7",2025-07-05,"15:30:18",348,91,439,0.207,0.261,"12 a",0
"12","b","low","k","inoc","old","high","heat","7",2025-07-05,"15:30:27",203,393,596,0.659,1.935,"12 b",0
"13","a","low","k","uninoc","new","high","heat","7",2025-07-05,"15:30:38",351,484,835,0.579,1.378,"13 a",0
"13","b","low","k","uninoc","old","high","heat","7",2025-07-05,"15:30:46",298,399,697,0.572,1.338,"13 b",0
"14","a","low","k","inoc","new","high","heat","7",2025-07-05,"15:30:56",572,182,754,0.241,0.318,"14 a",0
"14","b","low","k","inoc","old","high","heat","7",2025-07-05,"15:31:05",276,199,475,0.418,0.721,"14 b",0
"15","a","low","k","uninoc","new","high","heat","7",2025-07-05,"15:31:14",258,55,313,0.175,0.213,"15 a",0
"15","b","low","k","uninoc","old","high","heat","7",2025-07-05,"15:31:23",137,105,242,0.433,0.766,"15 b",0
"16","a","high","i","inoc","new","high","heat","7",2025-07-05,"15:31:35",310,418,728,0.574,1.348,"16 a",0
"16","b","high","i","inoc","old","high","heat","7",2025-07-05,"15:31:47",333,921,1254,0.734,2.765,"16 b",0
"17","a","low","k","uninoc","new","high","heat","7",2025-07-05,"15:31:56",368,10,378,0.026,0.027,"17 a",0
"17","b","low","k","uninoc","old","high","heat","7",2025-07-05,"15:32:04",424,148,572,0.258,0.349,"17 b",0
"18","a","high","g","uninoc","new","high","heat","7",2025-07-05,"15:32:13",204,136,340,0.4,0.666,"18 a",0
"18","b","high","g","uninoc","old","high","heat","7",2025-07-05,"15:32:22",304,395,699,0.565,1.299,"18 b",0
"19","a","low","h","inoc","new","high","heat","7",2025-07-05,"15:32:34",323,30,353,0.084,0.092,"19 a",0
"19","b","low","h","inoc","old","high","heat","7",2025-07-05,"15:32:48",161,127,288,0.44,0.788,"19 b",0
"20","a","high","g","uninoc","old","mod","heat","7",2025-07-05,"15:32:57",215,238,453,0.525,1.106,"20 a",0
"20","b","high","g","uninoc","old","mod","heat","7",2025-07-05,"15:33:05",114,91,205,0.443,0.798,"20 b",0
"21","a","high","h","uninoc","old","mod","heat","7",2025-07-05,"15:33:13",313,296,609,0.486,0.945,"21 a",0
"21","b","high","h","uninoc","old","mod","heat","7",2025-07-05,"15:33:22",587,234,821,0.285,0.398,"21 b",0
"22","a","high","h","inoc","new","mod","heat","7",2025-07-05,"15:33:31",411,74,485,0.152,0.18,"22 a",0
"22","b","high","h","inoc","old","mod","heat","7",2025-07-05,"15:33:40",764,188,952,0.197,0.246,"22 b",0
"23","a","high","j","uninoc","new","mod","heat","7",2025-07-05,"15:33:51",431,119,550,0.216,0.276,"23 a",0
"23","b","high","j","uninoc","old","mod","heat","7",2025-07-05,"15:34:00",419,345,764,0.451,0.823,"23 b",0
"24","a","high","i","inoc","new","mod","heat","7",2025-07-05,"15:34:11",746,154,900,0.171,0.206,"24 a",0
"24","b","high","i","inoc","new","mod","heat","7",2025-07-05,"15:34:20",260,532,792,0.671,2.046,"24 b",0
"25","a","high","h","uninoc","new","mod","heat","7",2025-07-05,"15:34:29",493,105,598,0.175,0.212,"25 a",0
"25","b","high","h","uninoc","old","mod","heat","7",2025-07-05,"15:34:37",52,26,78,0.333,0.5,"25 b",0
"26","a","low","k","uninoc","new","mod","heat","7",2025-07-05,"15:34:49",202,82,284,0.288,0.405,"26 a",0
"26","b","low","k","uninoc","old","mod","heat","7",2025-07-05,"15:34:57",203,458,661,0.692,2.256,"26 b",0
"27","a","high","i","uninoc","new","mod","heat","7",2025-07-05,"15:35:09",227,69,296,0.233,0.303,"27 a",0
"27","b","high","i","uninoc","old","mod","heat","7",2025-07-05,"15:35:17",266,462,728,0.634,1.736,"27 b",0
"28","a","low","k","inoc","new","mod","heat","7",2025-07-05,"15:35:26",261,96,357,0.268,0.367,"28 a",0
"28","b","low","k","inoc","old","mod","heat","7",2025-07-05,"15:35:35",396,93,489,0.19,0.234,"28 b",0
"48","a","low","k","uninoc","new","control","heat","7",2025-07-05,"15:35:43",658,0,658,0,0,"48 a",0
"48","b","low","k","uninoc","old","control","heat","7",2025-07-05,"15:35:52",342,203,545,0.372,0.593,"48 b",0
"49","a","low","k","inoc","new","control","heat","7",2025-07-05,"15:36:05",391,160,551,0.29,0.409,"49 a",0
"49","b","low","k","inoc","old","control","heat","7",2025-07-05,"15:36:13",344,179,523,0.342,0.52,"49 b",0
"50","a","low","k","uninoc","new","control","heat","7",2025-07-05,"15:36:26",375,36,411,0.087,0.096,"50 a",0
"50","b","low","k","uninoc","old","control","heat","7",2025-07-05,"15:36:35",274,350,624,0.56,1.277,"50 b",0
"51","a","high","i","inoc","new","control","heat","7",2025-07-05,"15:36:46",573,60,633,0.094,0.104,"51 a",0
"51","b","high","i","inoc","old","control","heat","7",2025-07-05,"15:37:00",211,349,560,0.623,1.654,"51 b",0
"52","a","low","k","uninoc","old","control","heat","7",2025-07-05,"15:37:10",438,289,727,0.397,0.659,"52 a",0
"52","b","low","k","uninoc","old","control","heat","7",2025-07-05,"15:37:20",264,490,754,0.649,1.856,"52 b",0
"53","a","low","k","uninoc","new","control","heat","7",2025-07-05,"15:37:31",459,325,784,0.414,0.708,"53 a",0
"53","b","low","k","uninoc","old","control","heat","7",2025-07-05,"15:37:41",157,91,248,0.366,0.579,"53 b",0
"54","a","high","g","uninoc","new","control","heat","7",2025-07-05,"15:37:50",375,125,500,0.25,0.333,"54 a",0
"54","b","high","g","uninoc","old","control","heat","7",2025-07-05,"15:38:00",84,18,102,0.176,0.214,"54 b",0
"55","a","high","h","uninoc","new","control","heat","7",2025-07-05,"15:38:13",637,0,637,0,0,"55 a",0
"55","b","high","h","uninoc","old","control","heat","7",2025-07-05,"15:38:24",616,125,741,0.168,0.202,"55 b",0
"56","a","low","m","inoc","old","control","heat","7",2025-07-05,"15:38:35",248,194,442,0.438,0.782,"56 a",0
"56","b","low","m","inoc","old","control","heat","7",2025-07-05,"15:38:43",342,227,569,0.398,0.663,"56 b",0
"57","a","high","g","uninoc","old","control","heat","7",2025-07-05,"15:38:52",497,169,666,0.253,0.34,"57 a",0
"57","b","high","g","uninoc","old","control","heat","7",2025-07-05,"15:39:01",244,172,416,0.413,0.704,"57 b",0
"11","a","high","j","uninoc","new","high","heat","rec1",2025-07-06,"13:40:38",247,732,979,0.747,2.963,"11 a",1
"11","b","high","j","uninoc","old","high","heat","rec1",2025-07-06,"13:40:45",158,465,623,0.746,2.943,"11 b",1
"12","a","low","k","inoc","new","high","heat","rec1",2025-07-06,"13:40:53",295,119,414,0.287,0.403,"12 a",1
"12","b","low","k","inoc","old","high","heat","rec1",2025-07-06,"13:41:02",196,472,668,0.706,2.408,"12 b",1
"13","a","low","k","uninoc","new","high","heat","rec1",2025-07-06,"13:41:11",241,561,802,0.699,2.327,"13 a",1
"13","b","low","k","uninoc","old","high","heat","rec1",2025-07-06,"13:41:21",233,376,609,0.617,1.613,"13 b",1
"14","a","low","k","inoc","new","high","heat","rec1",2025-07-06,"13:41:31",190,41,231,0.177,0.215,"14 a",1
"14","b","low","k","inoc","old","high","heat","rec1",2025-07-06,"13:42:08",121,236,357,0.661,1.95,"14 b",1
"15","a","low","k","uninoc","new","high","heat","rec1",2025-07-06,"13:42:18",152,69,221,0.312,0.453,"15 a",1
"15","b","low","k","uninoc","old","high","heat","rec1",2025-07-06,"13:42:34",205,704,909,0.774,3.434,"15 b",1
"16","a","high","i","inoc","new","high","heat","rec1",2025-07-06,"13:42:47",210,403,613,0.657,1.919,"16 a",1
"16","b","high","i","inoc","old","high","heat","rec1",2025-07-06,"13:42:57",309,980,1289,0.76,3.171,"16 b",1
"17","a","low","k","uninoc","new","high","heat","rec1",2025-07-06,"13:43:06",104,178,282,0.631,1.711,"17 a",1
"17","b","low","k","uninoc","old","high","heat","rec1",2025-07-06,"13:43:14",142,249,391,0.636,1.753,"17 b",1
"18","a","high","g","uninoc","new","high","heat","rec1",2025-07-06,"13:43:22",166,346,512,0.675,2.084,"18 a",1
"18","b","high","g","uninoc","old","high","heat","rec1",2025-07-06,"13:43:32",201,526,727,0.723,2.616,"18 b",1
"19","a","low","h","inoc","new","high","heat","rec1",2025-07-06,"13:43:43",124,143,267,0.535,1.153,"19 a",1
"19","b","low","h","inoc","old","high","heat","rec1",2025-07-06,"13:43:54",129,309,438,0.705,2.395,"19 b",1
"20","a","high","g","uninoc","old","mod","heat","rec1",2025-07-06,"13:44:16",63,59,122,0.483,0.936,"20 a",1
"20","b","high","g","uninoc","old","mod","heat","rec1",2025-07-06,"13:44:31",78,170,248,0.685,2.179,"20 b",1
"21","a","high","h","uninoc","old","mod","heat","rec1",2025-07-06,"13:44:43",277,409,686,0.596,1.476,"21 a",1
"21","b","high","h","uninoc","old","mod","heat","rec1",2025-07-06,"13:44:51",182,492,674,0.729,2.703,"21 b",1
"22","a","high","h","inoc","new","mod","heat","rec1",2025-07-06,"13:45:03",259,230,489,0.47,0.888,"22 a",1
"22","b","high","h","inoc","old","mod","heat","rec1",2025-07-06,"13:45:14",257,417,674,0.618,1.622,"22 b",1
"23","a","high","j","uninoc","new","mod","heat","rec1",2025-07-06,"13:45:27",60,311,371,0.838,5.183,"23 a",1
"23","b","high","j","uninoc","old","mod","heat","rec1",2025-07-06,"13:45:38",167,528,695,0.759,3.161,"23 b",1
"24","a","high","i","inoc","new","mod","heat","rec1",2025-07-06,"13:45:54",263,388,651,0.596,1.475,"24 a",1
"24","b","high","i","inoc","new","mod","heat","rec1",2025-07-06,"13:46:05",211,491,702,0.699,2.327,"24 b",1
"25","a","high","h","uninoc","new","mod","heat","rec1",2025-07-06,"13:46:16",284,217,501,0.433,0.764,"25 a",1
