"Needle_age","Prev_trmt","Elev","emmean","SE","df","lower.CL","upper.CL"
"new","control","high",0.167470058665299,0.12764392518005,27,-0.0944336422624542,0.429373759593052
"old","control","high",0.425982236816193,0.103606922181032,22,0.211114631256522,0.640849842375863
"new","high","high",0.629669696911209,0.128781076537011,22,0.362594090625416,0.896745303197002
"old","high","high",0.659338513294044,0.12878107653701,22,0.392262907008251,0.926414119579837
"new","mod","high",0.352562507154805,0.0932094560174636,22,0.159257926646203,0.545867087663408
"old","mod","high",0.546910217947416,0.0823949340690824,22,0.376033583249818,0.717786852645014
"new","control","low",0.279082026919642,0.110270415589893,22,0.0503951818411787,0.507768871998105
"old","control","low",0.564170983622451,0.082726890619879,22,0.392605913174442,0.735736054070461
"new","high","low",0.310471797088167,0.0910619725078238,22,0.121620824793974,0.49932276938236
"old","high","low",0.664643445058146,0.0910619725078239,22,0.475792472763954,0.853494417352339
"new","mod","low",0.419862340216323,0.157723963020991,22,0.0927628611439982,0.746961819288647
"old","mod","low",0.585467343222844,0.157723963020991,22,0.25836786415052,0.912566822295169
