"Seed_ID","Seedling_ID","Prev_trmt","Needle_age","Micro","Elev","Genotype","M0","M7","Mrec1","Mrec2","Mrec7","Resistance","Day1_Recovery","Day7_Recovery","Day1_Resilience","Day2_Resilience","Day7_Resilience"
"11 a","11","high","new","uninoc","high","j",0.788,0.495,0.747,0.78,0.792,0.628172588832487,1.50909090909091,1.6,0.860068259385665,0.972696245733788,1.01365187713311
"11 b","11","high","old","uninoc","high","j",0.831,0.309,0.746,0.734,0.706,0.371841155234657,2.41423948220065,2.28478964401294,0.837164750957854,0.814176245210728,0.760536398467433
"12 a","12","high","new","inoc","low","k",0.578,0.207,0.287,0.451,0.516,0.358131487889273,1.38647342995169,2.49275362318841,0.215633423180593,0.657681940700809,0.832884097035041
"12 b","12","high","old","inoc","low","k",0.781,0.659,0.706,0.752,0.768,0.843790012804097,1.07132018209408,1.16540212443096,0.385245901639344,0.762295081967213,0.89344262295082
"13 a","13","high","new","uninoc","low","k",0.738,0.579,0.699,0.702,0.616,0.784552845528455,1.20725388601036,1.06390328151986,0.754716981132075,0.773584905660377,0.232704402515723
"13 b","13","high","old","uninoc","low","k",0.527,0.572,0.617,0.698,0.794,1.0853889943074,1.07867132867133,1.38811188811189,-1,-2.8,-4.93333333333334
"14 a","14","high","new","inoc","low","k",0.78,0.241,0.177,0.556,0.692,0.308974358974359,0.734439834024896,2.87136929460581,-0.11873840445269,0.584415584415584,0.836734693877551
"14 b","14","high","old","inoc","low","k",0.833,0.418,0.661,0.673,0.831,0.501800720288115,1.58133971291866,1.98803827751196,0.585542168674699,0.614457831325301,0.995180722891566
"15 a","15","high","new","uninoc","low","k",0.708,0.175,0.312,0.556,0.723,0.247175141242938,1.78285714285714,4.13142857142857,0.25703564727955,0.714821763602252,1.0281425891182
"15 b","15","high","old","uninoc","low","k",0.797,0.433,0.774,0.76,0.768,0.543287327478043,1.78752886836028,1.77367205542725,0.936813186813187,0.898351648351648,0.92032967032967
"16 a","16","high","new","inoc","high","i",0.789,0.574,0.657,0.774,0.825,0.727503168567807,1.14459930313589,1.43728222996516,0.386046511627907,0.930232558139535,1.16744186046512
"16 b","16","high","old","inoc","high","i",0.846,0.734,0.76,0.775,0.821,0.867612293144208,1.03542234332425,1.11852861035422,0.232142857142857,0.366071428571429,0.776785714285714
"17 a","17","high","new","uninoc","low","k",0.69,0.026,0.631,0.649,0.7,0.0376811594202899,24.2692307692308,26.9230769230769,0.911144578313253,0.938253012048193,1.01506024096386
"17 b","17","high","old","uninoc","low","k",0.719,0.258,0.636,0.723,0.787,0.358831710709319,2.46511627906977,3.05038759689922,0.819956616052061,1.00867678958785,1.14750542299349
"18 a","18","high","new","uninoc","high","g",0.75,0.4,0.675,0.72,0.786,0.533333333333333,1.6875,1.965,0.785714285714286,0.914285714285714,1.10285714285714
"18 b","18","high","old","uninoc","high","g",0.765,0.565,0.723,0.731,0.798,0.738562091503268,1.27964601769912,1.41238938053097,0.79,0.83,1.165
"19 a","19","high","new","inoc","low","h",0.665,0.084,0.535,0.495,0.653,0.126315789473684,6.36904761904762,7.77380952380952,0.776247848537005,0.707401032702237,0.97934595524957
"19 b","19","high","old","inoc","low","h",0.672,0.44,0.705,0.614,0.312,0.654761904761905,1.60227272727273,0.709090909090909,1.14224137931034,0.75,-0.551724137931034
"20 a","20","mod","old","uninoc","high","g",0.765,0.525,0.483,0.736,0.698,0.686274509803922,0.92,1.32952380952381,-0.175,0.879166666666667,0.720833333333333
"20 b","20","mod","old","uninoc","high","g",0.777,0.443,0.685,0.45,0.684,0.57014157014157,1.54627539503386,1.54401805869075,0.724550898203593,0.0209580838323353,0.721556886227545
"21 a","21","mod","old","uninoc","high","h",0.741,0.486,0.596,0.669,0.71,0.65587044534413,1.22633744855967,1.46090534979424,0.431372549019608,0.71764705882353,0.878431372549019
"21 b","21","mod","old","uninoc","high","h",0.784,0.285,0.729,0.722,0.639,0.363520408163265,2.55789473684211,2.2421052631579,0.889779559118236,0.875751503006012,0.709418837675351
"22 a","22","mod","new","inoc","high","h",0.711,0.152,0.47,0.596,0.784,0.213783403656821,3.09210526315789,5.15789473684211,0.568872987477639,0.794275491949911,1.13059033989267
"22 b","22","mod","old","inoc","high","h",0.792,0.197,0.618,0.731,0.766,0.248737373737374,3.13705583756345,3.88832487309645,0.707563025210084,0.897478991596639,0.956302521008403
"23 a","23","mod","new","uninoc","high","j",0.776,0.216,0.838,0.685,0.255,0.278350515463918,3.87962962962963,1.18055555555556,1.11071428571429,0.8375,0.0696428571428571
"23 b","23","mod","old","uninoc","high","j",0.788,0.451,0.759,0.76,0.775,0.572335025380711,1.68292682926829,1.71840354767184,0.913946587537092,0.916913946587537,0.961424332344214
"24 a","24","mod","new","inoc","high","i",0.754,0.171,0.596,0.698,0.795,0.226790450928382,3.48538011695906,4.64912280701754,0.728987993138936,0.903945111492281,1.07032590051458
"24 b","24","mod","new","inoc","high","i",0.814,0.671,0.699,0.734,0.766,0.824324324324324,1.04172876304024,1.14157973174367,0.195804195804195,0.44055944055944,0.664335664335665
"25 a","25","mod","new","uninoc","high","h",0.562,0.175,0.433,0.49,0.756,0.311387900355872,2.47428571428571,4.32,0.666666666666667,0.813953488372093,1.50129198966408
"25 b","25","mod","old","uninoc","high","h",0.764,0.333,0.703,0.51,0.734,0.43586387434555,2.11111111111111,2.2042042042042,0.858468677494199,0.410672853828306,0.930394431554524
"26 a","26","mod","new","uninoc","low","k",0.648,0.288,0.536,0.503,0.68,0.444444444444444,1.86111111111111,2.36111111111111,0.688888888888889,0.597222222222222,1.08888888888889
"26 b","26","mod","old","uninoc","low","k",0.759,0.692,0.769,0.76,0.638,0.911725955204216,1.11127167630058,0.921965317919075,1.14925373134328,1.01492537313433,-0.80597014925373
"27 a","27","mod","new","uninoc","high","i",0.757,0.233,0.579,0.71,0.801,0.30779392338177,2.48497854077253,3.43776824034335,0.66030534351145,0.91030534351145,1.08396946564885
"27 b","27","mod","old","uninoc","high","i",0.797,0.634,0.733,0.588,0.569,0.795483061480552,1.15615141955836,0.897476340694006,0.607361963190184,-0.282208588957055,-0.39877300613497
"28 a","28","mod","new","inoc","low","k",0.678,0.268,0.435,0.549,0.726,0.395280235988201,1.62313432835821,2.7089552238806,0.407317073170732,0.685365853658537,1.11707317073171
"28 b","28","mod","old","inoc","low","k",0.733,0.19,0.391,0.499,0.694,0.259208731241473,2.05789473684211,3.65263157894737,0.370165745856354,0.569060773480663,0.928176795580111
"48 a","48","control","new","uninoc","low","k",0.66,0,0.379,0.601,0.696,0,Inf,Inf,0.574242424242424,0.910606060606061,1.05454545454545
"48 b","48","control","old","uninoc","low","k",0.778,0.372,0.368,0.736,0.794,0.478149100257069,0.989247311827957,2.13440860215054,-0.00985221674876848,0.896551724137931,1.03940886699507
"49 a","49","control","new","inoc","low","k",0.731,0.29,0.304,0.437,0.257,0.39671682626539,1.04827586206897,0.886206896551724,0.0317460317460318,0.333333333333333,-0.0748299319727891
