"Seed_ID","Fv_Fm_Max","D50","D50.uci","D50.lci","Dcrit","Dcrit.uci","Dcrit.lci","D15","D15.uci","D15.lci","R2","Seedling_ID","ID2","Elev","Genotype","Micro","Needle_age","Prev_trmt","Trmt_2"
"11 a",0.828766776219824,7.88,9.24,5.85,1.84,6.73,0.05,4.65,5.11,3.86,0.929066119733454,11,"a","high","j","uninoc","new","high","heat"
"11 b",0.851801972633314,6.11,6.4,5.91,2.45,2.92,1.23,4.25,4.49,3.83,0.980750733220588,11,"b","high","j","uninoc","old","high","heat"
"12 a",0.650764885468259,5.47,5.92,4.83,0.25,0.88,-0.38,2.57,3.21,1.77,0.943099937479255,12,"a","low","k","inoc","new","high","heat"
"12 b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"b","low","k","inoc","old","high","heat"
"13 a",0.742771045549242,9.77,13.51,8.22,2.12,4.15,-2.77,6.36,7.15,5.83,0.946732916849703,13,"a","low","k","uninoc","new","high","heat"
"13 b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"b","low","k","uninoc","old","high","heat"
"14 a",0.84945540889351,5.41,5.78,5.13,0.37,3.03,-0.4,2.18,2.93,1.05,0.974572744461009,14,"a","low","k","inoc","new","high","heat"
"14 b",0.881929628742312,6.71,7,5.6,1.33,6.7,-0.06,3.95,4.4,3.42,0.957961213022972,14,"b","low","k","inoc","old","high","heat"
"15 a",0.772883940300956,4.95,5.34,4.29,0.82,4.97,-0.25,2.67,3.35,1.1,0.911038830537736,15,"a","low","k","uninoc","new","high","heat"
"15 b",0.797353206824014,7.64,10.93,7.19,2.34,6.07,-1.27,4.85,5.33,4.54,0.980270304882194,15,"b","low","k","uninoc","old","high","heat"
"16 a",0.818870497761643,9.59,11.69,8.33,0.83,4.48,-0.26,5.17,5.44,4.86,0.976865809234061,16,"a","high","i","inoc","new","high","heat"
"16 b",1.04442615093697,7.41,14.61,5.2,1.2,3.44,-0.24,4.34,7.37,2.72,0.294747579717531,16,"b","high","i","inoc","old","high","heat"
"17 a",0.713728799298448,4.1,4.72,3.67,2.39,4.04,1.64,2.96,3.49,1.84,0.984148165006072,17,"a","low","k","uninoc","new","high","heat"
"17 b",0.771929334878894,5.64,5.97,5.38,0.98,5.66,-0.27,2.99,3.7,1.76,0.96357721611572,17,"b","low","k","uninoc","old","high","heat"
"18 a",0.766966516076067,7.42,7.97,7.2,0.52,3.87,-2.12,4.03,4.29,3.66,0.995029545170162,18,"a","high","g","uninoc","new","high","heat"
"18 b",0.817842482693002,9.8,11.93,7.08,0.75,4.5,-0.49,5.07,5.78,4.49,0.903813081265573,18,"b","high","g","uninoc","old","high","heat"
