"Seed_ID","ctmax","ctmax.lci","ctmax.uci","tcrit","tcrit.lci","tcrit.uci","t15","t15.lci","t15.uci","Seedling_ID","ID2","Elev","Genotype","Micro","Needle_age","Treatment"
"1 a",48.13,45.45,65.7,26.89,14.97,42.19,35.94,32.41,39.64,1,"a","high","g","uninoc","old","high"
"1 b",47.36,46.7,47.91,31.39,25.42,33.83,39.72,39.22,40.54,1,"b","high","g","uninoc","old","high"
"10 a",49.38,45.34,56.29,37.6,29.42,41.36,40.59,36.91,42.85,10,"a","high","h","inoc","new","high"
"10 b",53.54,50.78,71.37,36.72,28.89,39.93,41.33,38.3,42.5,10,"b","high","h","inoc","new","high"
"11 a",50.3,48.52,60.85,31.53,14.25,39.97,36.41,33.35,40.08,11,"a","high","j","uninoc","new","high"
"11 b",48.7,46.47,53.58,40.22,33.64,42.6,42.66,41.07,43.89,11,"b","high","j","uninoc","old","high"
"12 a",42.81,41.32,44.43,27.66,12.82,32.88,36.34,33.88,40.11,12,"a","low","k","inoc","new","high"
"12 b",59.62,54.66,87.77,33,20.49,44.86,43.39,41.61,44.62,12,"b","low","k","inoc","old","high"
"13 a",47.08,43.79,51.17,37.19,29.48,41,38.42,35.67,42.18,13,"a","low","k","uninoc","new","high"
"13 b",54.03,50.14,63.83,33.64,21.59,38.06,44.13,43.16,48.03,13,"b","low","k","uninoc","old","high"
"14 a",50.41,49.04,57.08,26.69,11.38,35.96,37.36,35.84,38.47,14,"a","low","k","inoc","new","high"
"14 b",46.63,44.11,50.3,41.04,34.74,43.21,42.52,40.37,43.96,14,"b","low","k","inoc","old","high"
"15 a",45.97,43.95,47.96,30.44,21.47,38.26,36.27,34.12,39.36,15,"a","low","k","uninoc","new","high"
"15 b",47.76,45.32,53.5,37.92,32.22,40.92,41.18,38.33,42.71,15,"b","low","k","uninoc","old","high"
"16 a",64.53,53.18,81.34,27.14,15.81,39.14,44.43,41.2,46.18,16,"a","high","i","inoc","new","high"
"16 b",50.98,48.04,61.4,36.94,30.34,41.19,41.1,37.35,42.92,16,"b","high","i","inoc","old","high"
"17 a",47.42,44.39,52.43,23.67,0.42,45.48,34.29,32.64,37.32,17,"a","low","k","uninoc","new","high"
"17 b",51.2,47.89,52.6,27.74,13.14,36.51,39.99,38.12,41.46,17,"b","low","k","uninoc","old","high"
"18 a",54.72,54.31,56.51,25.04,24.41,26.44,39.03,38.7,39.18,18,"a","high","g","uninoc","new","high"
"18 b",49.9,48.44,57.28,33.31,28.56,36.45,41.12,40.22,42.48,18,"b","high","g","uninoc","old","high"
"19 a",47.09,42.87,50.49,38.36,30.59,42.47,38.01,32.13,41.76,19,"a","low","h","inoc","new","high"
"19 b",48.71,44,69.83,40.43,36.21,44.26,39.69,36.14,42.79,19,"b","low","h","inoc","old","high"
"2 a",41.67,40.07,43.35,32.85,27.15,35.79,35.88,34.37,39.35,2,"a","high","h","inoc","new","high"
"2 b",46.56,44.91,50.08,37.57,33.63,40.31,38.7,34.23,41.53,2,"b","high","h","inoc","new","high"
"3 a",50.62,49.18,55.59,33.96,28.1,37.76,41.22,40.05,42.75,3,"a","low","k","uninoc","old","high"
"3 b",48.95,47.76,52.7,38.32,31.12,40.75,42.32,39.82,43.15,3,"b","low","k","uninoc","old","high"
"4 a",49.37,48.03,56.48,36.48,29.85,39.96,40.27,37.5,41.56,4,"a","low","k","uninoc","new","high"
"4 b",46.22,45.75,46.91,30.8,27.77,32.88,38.18,37.01,39.88,4,"b","low","k","uninoc","old","high"
"5 a",47.55,46.41,51.55,38.19,36.03,39.97,42.01,41.01,42.75,5,"a","high","g","uninoc","new","high"
"5 b",52.83,48.09,74.28,41.99,38.03,43.91,45.51,40.33,49.07,5,"b","high","g","uninoc","old","high"
"6 a",46.94,42.16,53.45,38.27,34.26,43.55,39.88,35.52,42.58,6,"a","high","h","uninoc","new","high"
"6 b",47.64,45.88,50.47,36.73,29.98,40.11,40.68,39.1,42.24,6,"b","high","h","uninoc","old","high"
"7 a",47.63,47.29,47.82,35.35,19.4,38.69,42.37,41.89,42.99,7,"a","low","k","uninoc","new","high"
"7 b",52.95,50.91,53.12,39.31,37.33,40.61,45.49,44.73,46.16,7,"b","low","k","uninoc","old","high"
"8 a",56.85,50.55,69.12,34.35,21.41,49.85,40.85,35.2,43.74,8,"a","high","h","uninoc","new","high"
"8 b",53.04,50.21,75.06,39.17,32.77,41.64,42.87,38.07,43.92,8,"b","high","h","uninoc","old","high"
"9 a",51.95,48.82,53.03,35.92,31.9,38.38,43.96,42.95,45.6,9,"a","low","k","uninoc","new","high"
"9 b",46.42,44.9,48.03,27.49,17.12,34.6,35.41,29.85,38.15,9,"b","low","k","uninoc","old","high"
