"Seedling_ID","ID2","Elev","Genotype","Micro","Needle_age","Treatment","Measurement","Date","Time","Fo","Fv","Fm","Fv.Fm","Fv.Fo","Seed_ID","time"
"1","a","high","g","uninoc","old","high","50",2025-06-24,"16:19:20",570,226,796,0.283,0.396,"1 a",0
"1","b","high","g","uninoc","old","high","50",2025-06-24,"16:19:30",720,199,919,0.216,0.276,"1 b",0
"2","a","high","h","inoc","new","high","50",2025-06-24,"16:20:02",1082,12,1094,0.01,0.011,"2 a",0
"2","b","high","h","inoc","new","high","50",2025-06-24,"16:20:14",778,121,899,0.134,0.155,"2 b",0
"3","a","low","k","uninoc","old","high","50",2025-06-24,"16:20:24",735,362,1097,0.329,0.492,"3 a",0
"3","b","low","k","uninoc","old","high","50",2025-06-24,"16:20:32",753,329,1082,0.304,0.436,"3 b",0
"4","a","low","k","uninoc","new","high","50",2025-06-24,"16:20:41",619,272,891,0.305,0.439,"4 a",0
"4","b","low","k","uninoc","old","high","50",2025-06-24,"16:20:49",612,223,835,0.267,0.364,"4 b",0
"5","a","high","g","uninoc","new","high","50",2025-06-24,"16:20:58",706,145,851,0.17,0.205,"5 a",0
"5","b","high","g","uninoc","old","high","50",2025-06-24,"16:21:06",783,371,1154,0.321,0.473,"5 b",0
"6","a","high","h","uninoc","new","high","50",2025-06-24,"16:21:15",722,74,796,0.092,0.102,"6 a",0
"6","b","high","h","uninoc","old","high","50",2025-06-24,"16:21:27",743,167,910,0.183,0.224,"6 b",0
"7","a","low","k","uninoc","new","high","50",2025-06-24,"16:21:41",588,171,759,0.225,0.29,"7 a",0
"7","b","low","k","uninoc","old","high","50",2025-06-24,"16:21:55",437,385,822,0.468,0.881,"7 b",0
"8","a","high","h","uninoc","new","high","50",2025-06-24,"16:22:16",486,535,1021,0.523,1.1,"8 a",0
"8","b","high","h","uninoc","old","high","50",2025-06-24,"16:22:25",597,439,1036,0.423,0.735,"8 b",0
"9","a","low","k","uninoc","new","high","50",2025-06-24,"16:22:40",566,481,1047,0.459,0.849,"9 a",0
"9","b","low","k","uninoc","old","high","50",2025-06-24,"16:22:48",481,211,692,0.304,0.438,"9 b",0
"10","a","high","h","inoc","new","high","50",2025-06-24,"16:23:07",609,165,774,0.213,0.27,"10 a",0
"10","b","high","h","inoc","new","high","50",2025-06-24,"16:23:17",449,358,807,0.443,0.797,"10 b",0
"11","a","high","j","uninoc","new","high","50",2025-06-24,"16:23:34",417,247,664,0.371,0.592,"11 a",0
"11","b","high","j","uninoc","old","high","50",2025-06-24,"16:23:42",915,222,1137,0.195,0.242,"11 b",0
"12","a","low","k","inoc","new","high","50",2025-06-24,"16:23:52",365,16,381,0.041,0.043,"12 a",0
"12","b","low","k","inoc","old","high","50",2025-06-24,"16:24:01",506,649,1155,0.561,1.282,"12 b",0
"13","a","low","k","uninoc","new","high","50",2025-06-24,"16:24:10",829,126,955,0.131,0.151,"13 a",0
"13","b","low","k","uninoc","old","high","50",2025-06-24,"16:24:18",480,537,1017,0.528,1.118,"13 b",0
"14","a","low","k","inoc","new","high","50",2025-06-24,"16:24:27",725,423,1148,0.368,0.583,"14 a",0
"14","b","low","k","inoc","old","high","50",2025-06-24,"16:24:38",128,6,134,0.044,0.046,"14 b",0
"15","a","low","k","uninoc","new","high","50",2025-06-24,"16:24:53",783,157,940,0.167,0.2,"15 a",0
"15","b","low","k","uninoc","old","high","50",2025-06-24,"16:25:06",316,71,387,0.183,0.224,"15 b",0
"16","a","high","i","inoc","new","high","50",2025-06-24,"16:26:05",471,757,1228,0.616,1.607,"16 a",0
"16","b","high","i","inoc","old","high","50",2025-06-24,"16:26:17",517,276,793,0.348,0.533,"16 b",0
"17","a","low","k","uninoc","new","high","50",2025-06-24,"16:26:29",798,250,1048,0.238,0.313,"17 a",0
"17","b","low","k","uninoc","old","high","50",2025-06-24,"16:26:37",422,361,783,0.461,0.855,"17 b",0
"18","a","high","g","uninoc","new","high","50",2025-06-24,"16:26:46",444,400,844,0.473,0.9,"18 a",0
"18","b","high","g","uninoc","old","high","50",2025-06-24,"16:26:57",505,315,820,0.384,0.623,"18 b",0
"19","a","low","h","inoc","new","high","50",2025-06-24,"16:27:07",654,175,829,0.211,0.267,"19 a",0
"19","b","low","h","inoc","old","high","50",2025-06-24,"16:27:18",947,73,1020,0.071,0.077,"19 b",0
"1","a","high","g","uninoc","old","high","rec1",2025-06-25,"16:19:36",253,269,522,0.515,1.063,"1 a",1
"1","b","high","g","uninoc","old","high","rec1",2025-06-25,"16:19:46",127,133,260,0.511,1.047,"1 b",1
"2","a","high","h","inoc","new","high","rec1",2025-06-25,"16:19:58",397,81,478,0.169,0.204,"2 a",1
"2","b","high","h","inoc","new","high","rec1",2025-06-25,"16:20:09",276,428,704,0.607,1.55,"2 b",1
"3","a","low","k","uninoc","old","high","rec1",2025-06-25,"16:20:27",294,338,632,0.534,1.149,"3 a",1
"3","b","low","k","uninoc","old","high","rec1",2025-06-25,"16:20:37",225,358,583,0.614,1.591,"3 b",1
"4","a","low","k","uninoc","new","high","rec1",2025-06-25,"16:20:50",157,118,275,0.429,0.751,"4 a",1
"4","b","low","k","uninoc","old","high","rec1",2025-06-25,"16:21:00",246,300,546,0.549,1.219,"4 b",1
"5","a","high","g","uninoc","new","high","rec1",2025-06-25,"16:21:18",186,508,694,0.731,2.731,"5 a",1
"5","b","high","g","uninoc","old","high","rec1",2025-06-25,"16:21:32",182,465,647,0.718,2.554,"5 b",1
"6","a","high","h","uninoc","old","high","rec1",2025-06-25,"16:21:44",183,730,913,0.799,3.989,"6 a",1
"6","b","high","h","uninoc","new","high","rec1",2025-06-25,"16:21:58",397,287,684,0.419,0.722,"6 b",1
"7","a","low","k","uninoc","new","high","rec1",2025-06-25,"16:22:40",333,386,719,0.536,1.159,"7 a",1
"7","b","low","k","uninoc","old","high","rec1",2025-06-25,"16:22:49",223,274,497,0.551,1.228,"7 b",1
"8","a","high","h","uninoc","new","high","rec1",2025-06-25,"16:22:59",317,598,915,0.653,1.886,"8 a",1
"8","b","high","h","uninoc","old","high","rec1",2025-06-25,"16:23:09",278,627,905,0.692,2.255,"8 b",1
"9","a","low","k","uninoc","new","high","rec1",2025-06-25,"16:23:22",338,386,724,0.533,1.142,"9 a",1
"9","b","low","k","uninoc","old","high","rec1",2025-06-25,"16:23:32",290,357,647,0.551,1.231,"9 b",1
"10","a","high","h","inoc","new","high","rec1",2025-06-25,"16:23:44",240,122,362,0.337,0.508,"10 a",1
"10","b","high","h","inoc","new","high","rec1",2025-06-25,"16:23:56",74,113,187,0.604,1.527,"10 b",1
"11","a","high","j","uninoc","new","high","rec1",2025-06-25,"16:24:10",157,270,427,0.632,1.719,"11 a",1
"11","b","high","j","uninoc","old","high","rec1",2025-06-25,"16:24:21",249,582,831,0.7,2.337,"11 b",1
"12","a","low","k","inoc","new","high","rec1",2025-06-25,"16:24:36",129,30,159,0.188,0.232,"12 a",1
"12","b","low","k","inoc","old","high","rec1",2025-06-25,"16:25:01",90,240,330,0.727,2.666,"12 b",1
"13","a","low","k","uninoc","new","high","rec1",2025-06-25,"16:25:15",203,115,318,0.361,0.566,"13 a",1
"13","b","low","k","uninoc","old","high","rec1",2025-06-25,"16:25:28",215,409,624,0.655,1.902,"13 b",1
"14","a","low","k","inoc","new","high","rec1",2025-06-25,"16:25:41",189,81,270,0.3,0.428,"14 a",1
"14","b","low","k","inoc","old","high","rec1",2025-06-25,"16:25:56",273,599,872,0.686,2.194,"14 b",1
"15","a","low","k","uninoc","new","high","rec1",2025-06-25,"16:26:07",308,444,752,0.59,1.441,"15 a",1
"15","b","low","k","uninoc","old","high","rec1",2025-06-25,"16:26:16",182,506,688,0.735,2.78,"15 b",1
"16","a","high","i","inoc","new","high","rec1",2025-06-25,"16:26:31",313,1112,1425,0.78,3.552,"16 a",1
"16","b","high","i","inoc","old","high","rec1",2025-06-25,"16:26:43",98,526,624,0.842,5.367,"16 b",1
"17","a","low","k","uninoc","new","high","rec1",2025-06-25,"16:26:55",193,108,301,0.358,0.559,"17 a",1
"17","b","low","k","uninoc","old","high","rec1",2025-06-25,"16:27:05",122,81,203,0.399,0.663,"17 b",1
"18","a","high","g","uninoc","new","high","rec1",2025-06-25,"16:27:19",160,155,315,0.492,0.968,"18 a",1
"18","b","high","g","uninoc","old","high","rec1",2025-06-25,"16:27:40",235,619,854,0.724,2.634,"18 b",1
"19","a","low","h","inoc","new","high","rec1",2025-06-25,"16:27:56",211,51,262,0.194,0.241,"19 a",1
"19","b","low","h","inoc","old","high","rec1",2025-06-25,"16:28:10",254,443,697,0.635,1.744,"19 b",1
"1","a","high","g","uninoc","old","high","rec2",2025-06-27,"13:19:02",354,450,804,0.559,1.271,"1 a",2
"1","b","high","g","uninoc","old","high","rec2",2025-06-27,"13:19:11",231,485,716,0.677,2.099,"1 b",2
"2","a","high","h","inoc","new","high","rec2",2025-06-27,"13:19:21",410,412,822,0.501,1.004,"2 a",2
"2","b","high","h","inoc","new","high","rec2",2025-06-27,"13:19:29",268,743,1011,0.734,2.772,"2 b",2
"3","a","low","k","uninoc","old","high","rec2",2025-06-27,"13:19:37",323,505,828,0.609,1.563,"3 a",2
"3","b","low","k","uninoc","old","high","rec2",2025-06-27,"13:19:45",129,495,624,0.793,3.837,"3 b",2
"4","a","low","k","uninoc","new","high","rec2",2025-06-27,"13:19:57",211,350,561,0.623,1.658,"4 a",2
"4","b","low","k","uninoc","old","high","rec2",2025-06-27,"13:20:06",330,1069,1399,0.764,3.239,"4 b",2
"5","a","high","g","uninoc","new","high","rec2",2025-06-27,"13:20:19",208,418,626,0.667,2.009,"5 a",2
"5","b","high","g","uninoc","old","high","rec2",2025-06-27,"13:20:26",330,884,1214,0.728,2.678,"5 b",2
"6","a","high","h","uninoc","new","high","rec2",2025-06-27,"13:20:36",332,502,834,0.601,1.512,"6 a",2
"6","b","high","h","uninoc","old","high","rec2",2025-06-27,"13:20:44",297,622,919,0.676,2.094,"6 b",2
