"Seed_ID","Seedling_ID","Needle_age","Micro","Elev","Genotype","M25","M45","M50","Mrec1","Mrec2","Mrec7","Resistance","Resistance45","Day1_Recovery","Day2_Recovery","Day7_Recovery","Day1_Resilience","Day2_Resilience","Day7_Resilience"
"1 a","1","old","uninoc","high","g",0.703,0.375,0.283,0.515,0.559,0.588,0.402560455192034,0.533428165007112,1.81978798586572,1.97526501766784,2.07773851590106,0.552380952380953,0.657142857142857,0.726190476190476
"1 b","1","old","uninoc","high","g",0.607,0.392,0.216,0.511,0.677,0.591,0.355848434925865,0.645799011532125,2.36574074074074,3.13425925925926,2.73611111111111,0.754475703324808,1.17902813299233,0.959079283887468
"10 a","10","new","inoc","high","h",0.759,0.554,0.213,0.337,0.594,0.724,0.280632411067194,0.729907773386034,1.58215962441315,2.7887323943662,3.39906103286385,0.227106227106227,0.697802197802198,0.935897435897436
"10 b","10","new","inoc","high","h",0.807,0.634,0.443,0.604,0.757,0.771,0.548946716232962,0.785625774473358,1.36343115124153,1.70880361173815,1.74040632054176,0.442307692307692,0.862637362637363,0.901098901098901
"11 a","11","new","uninoc","high","j",0.804,0.587,0.371,0.632,0.785,0.782,0.461442786069652,0.730099502487562,1.70350404312668,2.11590296495957,2.1078167115903,0.602771362586605,0.956120092378753,0.94919168591224
"11 b","11","old","uninoc","high","j",0.82,0.638,0.195,0.7,0.762,0.798,0.237804878048781,0.778048780487805,3.58974358974359,3.90769230769231,4.09230769230769,0.808,0.9072,0.9648
"12 a","12","new","inoc","low","k",0.429,0.19,0.041,0.188,0.469,0.46,0.0955710955710956,0.442890442890443,4.58536585365854,11.4390243902439,11.219512195122,0.378865979381443,1.10309278350515,1.0798969072165
"12 b","12","old","inoc","low","k",0.782,0.656,0.561,0.727,0.741,0.737,0.717391304347826,0.838874680306905,1.29590017825312,1.32085561497326,1.31372549019608,0.751131221719457,0.81447963800905,0.796380090497737
"13 a","13","new","uninoc","low","k",0.741,0.484,0.131,0.361,0.588,0.669,0.176788124156545,0.653171390013495,2.75572519083969,4.48854961832061,5.10687022900763,0.377049180327869,0.749180327868852,0.881967213114754
"13 b","13","old","uninoc","low","k",0.795,0.645,0.528,0.655,0.655,0.687,0.664150943396226,0.811320754716981,1.2405303030303,1.2405303030303,1.30113636363636,0.47565543071161,0.47565543071161,0.595505617977528
"14 a","14","new","inoc","low","k",0.766,0.52,0.368,0.3,0.547,0.76,0.480417754569191,0.678851174934726,0.815217391304348,1.48641304347826,2.06521739130435,-0.170854271356784,0.449748743718593,0.984924623115578
"14 b","14","old","inoc","low","k",0.828,0.602,0.044,0.686,0.814,0.712,0.0531400966183575,0.727053140096618,15.5909090909091,18.5,16.1818181818182,0.818877551020408,0.982142857142857,0.852040816326531
"15 a","15","new","uninoc","low","k",0.74,0.437,0.167,0.59,0.619,0.636,0.225675675675676,0.590540540540541,3.53293413173653,3.7065868263473,3.80838323353293,0.738219895287958,0.788830715532286,0.818499127399651
"15 b","15","old","uninoc","low","k",0.773,0.545,0.183,0.735,0.779,0.777,0.236739974126779,0.705045278137128,4.01639344262295,4.2568306010929,4.24590163934426,0.935593220338983,1.01016949152542,1.00677966101695
"16 a","16","new","inoc","high","i",0.802,0.683,0.616,0.78,0.784,0.736,0.768079800498753,0.851620947630923,1.26623376623377,1.27272727272727,1.19480519480519,0.881720430107527,0.903225806451613,0.64516129032258
"16 b","16","old","inoc","high","i",0.819,0.626,0.348,0.842,0.73,0.809,0.424908424908425,0.764346764346764,2.41954022988506,2.09770114942529,2.32471264367816,1.04883227176221,0.81104033970276,0.978768577494692
"17 a","17","new","uninoc","low","k",0.731,0.446,0.238,0.358,0.651,0.631,0.325581395348837,0.610123119015048,1.50420168067227,2.73529411764706,2.65126050420168,0.243407707910751,0.837728194726166,0.797160243407708
"17 b","17","old","uninoc","low","k",0.806,0.563,0.461,0.399,0.807,0.766,0.571960297766749,0.698511166253102,0.865509761388286,1.75054229934924,1.66160520607375,-0.179710144927536,1.00289855072464,0.884057971014493
"18 a","18","new","uninoc","high","g",0.767,0.564,0.473,0.492,0.766,0.771,0.616688396349413,0.735332464146023,1.04016913319239,1.61945031712474,1.63002114164905,0.0646258503401361,0.996598639455782,1.01360544217687
"18 b","18","old","uninoc","high","g",0.826,0.578,0.384,0.724,0.772,0.812,0.464891041162228,0.699757869249395,1.88541666666667,2.01041666666667,2.11458333333333,0.769230769230769,0.877828054298643,0.968325791855204
"19 a","19","new","inoc","low","h",0.728,0.492,0.211,0.194,0.486,0.462,0.289835164835165,0.675824175824176,0.919431279620853,2.30331753554502,2.18957345971564,-0.0328820116054158,0.531914893617021,0.485493230174081
"19 b","19","old","inoc","low","h",0.689,0.453,0.071,0.635,0.732,0.75,0.103047895500726,0.657474600870827,8.94366197183099,10.3098591549296,10.5633802816901,0.912621359223301,1.06957928802589,1.09870550161812
"2 a","2","new","inoc","high","h",0.755,0.178,0.01,0.169,0.501,0.638,0.0132450331125828,0.235761589403973,16.9,50.1,63.8,0.213422818791946,0.659060402684564,0.842953020134228
"2 b","2","new","inoc","high","h",0.759,0.461,0.134,0.607,0.734,0.753,0.176548089591568,0.60737812911726,4.52985074626866,5.47761194029851,5.61940298507463,0.7568,0.96,0.9904
"3 a","3","old","uninoc","low","k",0.71,0.542,0.329,0.534,0.609,0.634,0.463380281690141,0.763380281690141,1.62310030395137,1.85106382978723,1.92705167173252,0.538057742782152,0.73490813648294,0.800524934383202
"3 b","3","old","uninoc","low","k",0.813,0.62,0.304,0.614,0.793,0.784,0.373923739237392,0.762607626076261,2.01973684210526,2.60855263157895,2.57894736842105,0.609037328094303,0.960707269155207,0.943025540275049
"4 a","4","new","uninoc","low","k",0.762,0.546,0.305,0.429,0.623,0.619,0.400262467191601,0.716535433070866,1.40655737704918,2.04262295081967,2.02950819672131,0.271334792122538,0.695842450765864,0.687089715536105
"4 b","4","old","uninoc","low","k",0.827,0.458,0.267,0.549,0.764,0.79,0.322853688029021,0.553808948004837,2.0561797752809,2.86142322097378,2.95880149812734,0.503571428571429,0.8875,0.933928571428572
"5 a","5","new","uninoc","high","g",0.757,0.528,0.17,0.731,0.667,0.717,0.224570673712021,0.697490092470277,4.3,3.92352941176471,4.21764705882353,0.955706984667802,0.846678023850085,0.931856899488927
"5 b","5","old","uninoc","high","g",0.812,0.717,0.321,0.718,0.728,0.777,0.395320197044335,0.883004926108374,2.23676012461059,2.26791277258567,2.42056074766355,0.808553971486762,0.828920570264766,0.928716904276986
"6 a","6","new","uninoc","high","h",0.758,0.482,0.092,NA,0.601,0.719,0.121372031662269,0.635883905013193,NA,6.53260869565217,7.81521739130435,NA,0.764264264264264,0.941441441441441
"6 a","6","old","uninoc","high","h",NA,NA,NA,0.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6 b","6","new","uninoc","high","h",NA,NA,NA,0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6 b","6","old","uninoc","high","h",0.736,0.508,0.183,NA,0.676,0.787,0.248641304347826,0.690217391304348,NA,3.69398907103825,4.30054644808743,NA,0.891500904159132,1.09222423146474
"7 a","7","new","uninoc","low","k",0.681,0.473,0.225,0.536,0.62,0.625,0.330396475770925,0.694566813509545,2.38222222222222,2.75555555555556,2.77777777777778,0.682017543859649,0.866228070175438,0.87719298245614
"7 b","7","old","uninoc","low","k",0.771,0.661,0.468,0.551,0.783,0.785,0.607003891050584,0.857328145265889,1.17735042735043,1.67307692307692,1.67735042735043,0.273927392739274,1.03960396039604,1.04620462046205
"8 a","8","new","uninoc","high","h",0.788,0.614,0.523,0.653,0.736,0.75,0.663705583756345,0.779187817258883,1.24856596558317,1.40726577437859,1.434034416826,0.490566037735849,0.80377358490566,0.856603773584906
"8 b","8","old","uninoc","high","h",0.818,0.666,0.423,0.692,0.774,0.79,0.517114914425428,0.814180929095355,1.63593380614657,1.82978723404255,1.86761229314421,0.681012658227848,0.888607594936709,0.929113924050633
"9 a","9","new","uninoc","low","k",0.733,0.583,0.459,0.533,0.667,0.609,0.626193724420191,0.795361527967258,1.16122004357298,1.45315904139434,1.32679738562091,0.27007299270073,0.759124087591241,0.547445255474453
"9 b","9","old","uninoc","low","k",0.741,0.38,0.304,0.551,0.737,0.774,0.41025641025641,0.512820512820513,1.8125,2.42434210526316,2.54605263157895,0.565217391304348,0.990846681922197,1.07551487414188
