Seedling_ID,Elev,Genotype,Micro,Needle_age,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,high,g,uninoc,old,25,Jun/23/2025,6:44:15,344,817,1161,0.703,2.375
1,high,g,uninoc,old,25,Jun/23/2025,6:44:32,423,656,1079,0.607,1.55
2,high,h,inoc,new,25,Jun/23/2025,6:44:51,322,993,1315,0.755,3.083
2,high,h,inoc,new,25,Jun/23/2025,6:45:04,145,457,602,0.759,3.151
3,low,k,uninoc,old,25,Jun/23/2025,6:45:16,284,698,982,0.71,2.457
3,low,k,uninoc,old,25,Jun/23/2025,6:45:28,190,831,1021,0.813,4.373
4,low,k,uninoc,new,25,Jun/23/2025,6:45:42,190,610,800,0.762,3.21
4,low,k,uninoc,old,25,Jun/23/2025,6:46:01,169,812,981,0.827,4.804
5,high,g,uninoc,new,25,Jun/23/2025,6:46:21,218,680,898,0.757,3.119
5,high,g,uninoc,old,25,Jun/23/2025,6:46:32,232,1003,1235,0.812,4.323
6,high,h,uninoc,new,25,Jun/23/2025,6:46:43,244,766,1010,0.758,3.139
6,high,h,uninoc,old,25,Jun/23/2025,6:46:54,285,798,1083,0.736,2.8
7,low,k,uninoc,new,25,Jun/23/2025,6:47:07,339,726,1065,0.681,2.141
7,low,k,uninoc,old,25,Jun/23/2025,6:47:23,235,795,1030,0.771,3.382
8,high,h,uninoc,new,25,Jun/23/2025,6:47:34,240,895,1135,0.788,3.729
8,high,h,uninoc,old,25,Jun/23/2025,6:47:46,219,987,1206,0.818,4.506
9,low,k,uninoc,new,25,Jun/23/2025,6:47:56,268,737,1005,0.733,2.75
9,low,k,uninoc,old,25,Jun/23/2025,6:48:11,86,247,333,0.741,2.872
10,high,h,inoc,new,25,Jun/23/2025,6:48:22,334,1054,1388,0.759,3.155
10,high,h,inoc,new,25,Jun/23/2025,6:48:37,216,907,1123,0.807,4.199
11,high,j,uninoc,new,25,Jun/23/2025,6:49:02,222,911,1133,0.804,4.103
11,high,j,uninoc,old,25,Jun/23/2025,6:49:15,257,1178,1435,0.82,4.583
12,low,k,inoc,new,25,Jun/23/2025,6:49:32,251,189,440,0.429,0.752
12,low,k,inoc,old,25,Jun/23/2025,6:49:43,259,930,1189,0.782,3.59
