Seedling_ID,ID2,Elev,Genotype,Micro,Needle_age,Prev_trmt,Trmt_2,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,a,high,g,uninoc,old,high,control,0,Jul/04/2025,13:16:24,150,131,281,0.466,0.873
1,b,high,g,uninoc,old,high,control,0,Jul/04/2025,13:16:34,280,409,689,0.593,1.46
2,a,high,h,inoc,new,high,control,0,Jul/04/2025,13:16:45,132,406,538,0.754,3.075
2,b,high,h,inoc,new,high,control,0,Jul/04/2025,13:16:57,101,385,486,0.792,3.811
3,a,low,k,uninoc,old,high,control,0,Jul/04/2025,13:17:09,157,419,576,0.727,2.668
3,b,low,k,uninoc,old,high,control,0,Jul/04/2025,13:17:20,105,304,409,0.743,2.895
4,a,low,k,uninoc,new,high,control,0,Jul/04/2025,13:17:37,148,278,426,0.652,1.878
4,b,low,k,uninoc,old,high,control,0,Jul/04/2025,13:17:46,203,712,915,0.778,3.507
5,a,high,g,uninoc,new,high,control,0,Jul/04/2025,13:17:58,251,734,985,0.745,2.924
5,b,high,g,uninoc,old,high,control,0,Jul/04/2025,13:18:12,80,387,467,0.828,4.837
6,a,high,h,uninoc,old,high,control,0,Jul/04/2025,13:18:38,126,203,329,0.617,1.611
6,b,high,h,uninoc,new,high,control,0,Jul/04/2025,13:18:48,199,518,717,0.722,2.603
7,a,low,k,uninoc,new,high,control,0,Jul/04/2025,13:18:58,193,384,577,0.665,1.989
7,b,low,k,uninoc,old,high,control,0,Jul/04/2025,13:19:09,147,582,729,0.798,3.959
8,a,high,h,uninoc,new,high,control,0,Jul/04/2025,13:19:17,94,270,364,0.741,2.872
8,b,high,h,uninoc,old,high,control,0,Jul/04/2025,13:19:24,170,709,879,0.806,4.17
9,a,low,k,uninoc,new,high,control,0,Jul/04/2025,13:19:38,204,426,630,0.676,2.088
9,b,low,k,uninoc,old,high,control,0,Jul/04/2025,13:19:47,146,539,685,0.786,3.691
10,a,high,h,inoc,new,high,control,0,Jul/04/2025,13:19:58,190,728,918,0.793,3.831
10,b,high,h,inoc,new,high,control,0,Jul/04/2025,13:20:07,109,472,581,0.812,4.33
11,a,high,j,uninoc,new,high,heat,0,Jul/04/2025,13:20:18,159,593,752,0.788,3.729
11,b,high,j,uninoc,old,high,heat,0,Jul/04/2025,13:20:27,121,599,720,0.831,4.95
12,a,low,k,inoc,new,high,heat,0,Jul/04/2025,13:20:37,236,324,560,0.578,1.372
12,b,low,k,inoc,old,high,heat,0,Jul/04/2025,13:20:46,79,282,361,0.781,3.569
