Date,Measurement,Seedling_ID,ImageJ,Roboflow_corrected,Roboflow
24-Jun,rec1,20,1.469,1.469,3.986602871
24-Jun,rec1,21,1.812,1.812,4.514720314
24-Jun,rec1,22,4.937,4.937,4.956616843
24-Jun,rec1,23,2.603,2.603,6
24-Jun,rec1,24,1.856,1.856,4.377579737
24-Jun,rec1,25,4.479,4.479,4.721748037
24-Jun,rec1,26,4.521,4.521,4.679669573
24-Jun,rec1,27,3.363,3.363,3.944768986
24-Jun,rec1,28,5,5,4.727225806
24-Jun,rec1,29,4.139,4.139,3.635749752
24-Jun,rec1,30,6,6,4.475080906
24-Jun,rec1,31,3.79,3.79,5.113646466
24-Jun,rec1,32,5.374,5.374,4.71509434
24-Jun,rec1,33,5.012,5.012,4.301950806
24-Jun,rec1,34,5.37,5.37,4.405823476
24-Jun,rec1,35,5.76,5.76,4.375626043
24-Jun,rec1,36,5.433,5.433,4.957429719
24-Jun,rec1,37,4.416,4.416,4.864142539
25-Jun,rec1,1,3.692,3.692,4.901525659
25-Jun,rec1,2,5.997,5.997,3.871371656
25-Jun,rec1,3,3.633,3.633,4.145826869
25-Jun,rec1,4,5.069,5.069,5.478369592
25-Jun,rec1,5,4.632,4.632,4.953833961
25-Jun,rec1,6,4.521,4.521,3.530506722
25-Jun,rec1,7,3.812,3.812,4.881245944
25-Jun,rec1,8,5.181,5.181,4.984461709
25-Jun,rec1,9,4.241,4.241,4.740600487
25-Jun,rec1,10,4.886,4.886,4.858195926
25-Jun,rec1,11,4.152,4.152,6
25-Jun,rec1,12,5.024,5.024,4.438536128
25-Jun,rec1,13,2.962,2.962,4.4921875
25-Jun,rec1,14,4.625,4.625,5.252531747
25-Jun,rec1,15,4.856,4.856,4.297808466
25-Jun,rec1,16,3.814,3.814,4.647993944
25-Jun,rec1,17,3.382,3.382,4.889573703
25-Jun,rec1,18,2.868,2.868,4.815949538
25-Jun,rec1,19,4.906,4.906,4.350073135
25-Jun,rec2,20,3.015,3.015,3.66588785
25-Jun,rec2,21,2.496,2.496,4.60370467
25-Jun,rec2,22,5.034,5.034,4.754419494
25-Jun,rec2,23,4.005,4.005,4.608498216
25-Jun,rec2,24,2.942,2.942,4.275793651
25-Jun,rec2,25,5.3,5.3,4.983456249
25-Jun,rec2,26,2.782,2.782,4.773599386
25-Jun,rec2,27,2.803,2.803,4.912280702
25-Jun,rec2,28,4.335,4.335,4.575322812
25-Jun,rec2,29,2.779,2.779,4.976481656
25-Jun,rec2,30,6,6,4.837758112
25-Jun,rec2,31,3.715,3.715,3.915363385
25-Jun,rec2,32,5.648,5.648,4.805327869
25-Jun,rec2,33,4.733,4.733,4.756809339
25-Jun,rec2,34,3.876,3.876,5.076086957
25-Jun,rec2,35,6,6,3.989565217
25-Jun,rec2,36,2.543,2.543,4.843599205
25-Jun,rec2,37,5.348,5.348,4.951998308
30-Jun,rec7,1,3.006,3.006,4.708472577
30-Jun,rec7,2,4.357,4.357,4.633650519
30-Jun,rec7,3,2.94,2.94,2.887287699
30-Jun,rec7,4,4.54,4.54,4.558683729
30-Jun,rec7,5,3.703,3.703,4.795913403
30-Jun,rec7,6,4.937,4.937,4.105853051
30-Jun,rec7,7,2.982,2.982,3.775790922
30-Jun,rec7,8,3.556,3.556,4.387654321
30-Jun,rec7,9,1.98,1.98,3.769198489
30-Jun,rec7,10,3.271,3.271,4.455536181
30-Jun,rec7,11,4.089,4.089,4.089618703
