seedling_id,treatment_1,treatment_2,measurement,leaf_area,amax_corrected,gsw_corrected,obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,high,control,06pre,3.986234022,4.797368592,0.248835571,1,1750694863,0,20250623 09:07:43,9:07:43,15,1750694855,0.002788045,2.788044763,7.220903587,392.7577667,355.3687168,36.07416918,39.86960431,0.374542342,3,0.350368635,0.221022162,161.915674,20.69764144,18.21605667,2.099587963,54.02799296,1.305357988,2.416077142,0.794229975,-122.9527741,364.8570077,24.28855342,428.1084611,7.220903587,2.788044763,6.218940229,403.9332932,398.8927818,0.093555875,66.98364949,2.949519143,10.79846302,12.98114182,0.000180183,79.04115285,122,15,1,0,54877.60056,1000.004733,841.2034157,0.841199434,0.161914908,6,0.5,1: Needles,2,FALSE,1750694855,392.7577667,398.9947,12.85915667,10.79501667,390.2277667,12.88715667,800.0018,101.4121667,0.09977706,20.47193667,18.21605667,999.9,0,0,10011.58367,0,0.00152894,-6.337758333,397.8170667,403.3488,2.176267333,398.9947,10.79501667,1.315445667,1.094745333,10.97649667,8.242329,1000.004733,0.9600168,0.03998315,0,1.714333333,0,5710.951667,7947.012,38.53926667,40.2143,39.63946667,40.812,38.0977,960.0236667,39.98133333,0,1750694880,0,1750694892,9:08:12,1750694892,1750694887,1,0.098,-0.065,2.53,-0.028,381,11,0.3,0.03,-6.1443595,-1.704541463,0.442171801,0,2.1715045,0.081905516,0.009514062,1,1,2,2-Jan,3.44597,2.78057,0.0966918,0.0981664,0.077635,0.0675467,27451.7,31172.5,29500.1,35131.9,31459.8,40678.8,36306.4,46522,2.41828,2.39893,0.00320375,0,18.2578,999.9,74.3,18.2,15.3662,60.8482,26.0657,2,-0.666446,0,20.2949,5.214,11.968,4.9924,3.27137,2624.3,9999,9999,999.9,4.97248,1.86203,1.86364,1.86203,1.86218,1.86279,1.85928,1.86217,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.53,-0.028,2.706943477,-0.001033731,9.12024E-07,-2.25E-10,0.01143117,-0.018148581,0.00209196,-1.91E-05,2,2210,1,26,1220.1,1220,0.841064,2.34253,2.34863,2.8064,2.39868,2.22412,24.1038,14.3772,18,656.789,703.89,19.1836,18.2928,30.0002,18.1934,18.1503,16.9043,32.9677,98.1261,-999.9,405,10.9221,101.274,101.564
2,high,control,06pre,4.462345448,7.654978874,0.179210116,2,1750695092,228.5,20250623 09:11:31,9:11:31,15,1750695084,0.002399871,2.399871111,10.29276504,394.8108333,317.967621,32.27917847,40.08008523,0.240963123,3,0.23070395,0.145075315,161.9140452,21.21171563,20.28255333,2.387988508,54.52244812,1.351417098,2.478643466,1.036571411,-105.834316,97.75162104,6.590446705,160.4217969,10.29276504,2.399871111,10.29084399,407.9895719,400.1945636,-0.003793414,66.97983997,2.410701389,11.55646287,13.33801273,0.000574434,79.04713762,222,28,1,0,54754.58026,999.9928333,841.1935598,0.841199588,0.161915206,6,0.5,1: Needles,2,FALSE,1750695084,394.8108333,403.241,13.3122,11.53626333,392.2288333,13.28249667,800.0027,101.4171667,0.100020417,20.88694333,20.28255333,999.9,0,0,10002.39633,0,0.00152894,-8.486371333,400.0806,407.9471333,1.775936,403.241,11.53626333,1.350086333,1.169975333,11.36831667,9.224878667,999.9928333,0.960013933,0.03998565,0,3.067166667,0,13367.41,7946.909,39.5248,41.24153333,40.6166,41.8204,39.04546667,960.007,39.986,0,1750695108,0,1750695115,9:11:54,1750695115,1750694887,2,0.059,-0.065,2.582,-0.028,400,11,0.13,0.03,-8.5072955,-0.081167054,0.149677625,1,1.782322,-0.069234822,0.010580783,1,2,2,2-Feb,3.44636,2.78085,0.0968415,0.0988279,0.0794551,0.0710869,27437.4,31137.8,29490.2,35119.5,31387.2,40509.4,36295.4,46505.5,2.23415,2.39193,0.0800565,0,18.9843,999.9,74,18.5,15.5947,61.2082,26.0577,2,-0.647269,0,20.2946,5.21474,11.968,4.99245,3.27198,2631.7,9999,9999,999.9,4.97247,1.86203,1.86371,1.86206,1.86218,1.86279,1.85928,1.86218,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.582,0.0304,2.804487163,-0.001033731,9.12024E-07,-2.25E-10,-0.053587328,-0.018148581,0.00209196,-1.91E-05,2,2210,1,26,3.3,3.4,1.13281,2.33276,2.34741,2.80273,2.39868,2.24854,24.4902,14.3597,18,538.861,700.846,19.5306,18.5217,30.0007,18.3889,18.3395,22.7299,29.5958,96.6416,-999.9,405,11.6123,101.242,101.528
3,high,control,06pre,4.516068053,5.213722824,0.120676841,3,1750695418,555,20250623 09:16:58,9:16:58,15,1750695410,0.001701123,1.701122973,6.926896711,399.0036667,321.8494587,32.67502191,40.50792443,0.160329968,3,0.155717333,0.097726706,161.9176103,22.09156734,21.0341,2.501167091,54.62382043,1.413472285,2.587648162,1.087694805,-75.01952313,89.67398608,6.090847525,182.6629208,6.926896711,1.701122973,6.774812963,409.8963955,404.7462909,0.001077331,66.97841959,1.707743165,12.67147679,13.93396788,0.000119955,79.05059161,393,49,1,0,54713.29623,1000.015667,841.2126988,0.84119952,0.161915074,6,0.5,1: Needles,2,FALSE,1750695410,399.0036667,404.708,13.92272333,12.66462333,396.4656667,13.87634,799.9866667,101.4229667,0.09972049,21.58854667,21.0341,999.9,0,0,10018.81867,0,0.00152894,-5.659477333,404.6827333,409.8992333,1.258103,404.708,12.66462333,1.412082,1.284483,12.04800333,10.61849667,1000.015667,0.9600162,0.039984127,0,-1.631166667,0,6508.473333,7947.094667,37.81643333,40.67476667,39.20383333,40.05393333,37.56216667,960.032,39.98466667,0,1750695435,0,1750695434,9:17:14,1750695434,1750694887,3,-0.043,-0.065,2.538,-0.028,404,11,0.33,0.03,-5.65431439,0.059036028,0.047598831,1,1.251460732,0.109520906,0.012161936,0,1,2,2-Jan,3.4471,2.78099,0.097477,0.0989463,0.0818923,0.0759884,27390.6,31105.8,29462.8,35091.1,31274.1,40262.2,36261.5,46467.1,1.87235,2.3768,0.0748411,0,19.8312,999.9,73.3,19.1,16.0365,61.4782,25.9575,2,-0.598356,0,20.2946,5.21489,11.968,4.99235,3.27195,2642.2,9999,9999,999.9,4.97254,1.86213,1.86374,1.86218,1.86232,1.86295,1.85943,1.86218,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.538,0.0467,2.863329718,-0.001033731,9.12024E-07,-2.25E-10,-0.053587328,-0.018148581,0.00209196,-1.91E-05,2,2210,1,26,5.1,8.8,1.23169,2.34009,2.34863,2.79907,2.39868,2.2522,25.1839,14.3072,18,359.075,697.252,20.1825,19.2045,30.0008,19.0246,18.9528,24.6955,25.5984,95.9002,-999.9,405,12.7426,101.148,101.445
4,high,control,06pre,4.625044342,5.874160725,0.375252792,4,1750695661,797.5,20250623 09:21:00,9:21:00,15,1750695653,0.005189296,5.18929642,7.620459771,397.5667333,363.609103,36.91134644,40.35851498,0.486809766,3,0.446801576,0.282571051,161.9181126,21.59184302,21.54632333,2.580971413,53.77914858,1.425222125,2.650138879,1.155749288,-228.8479721,70.00796672,4.777002301,7.855109494,7.620459771,5.18929642,7.589353352,409.0685505,403.3158727,0.000590215,66.97850999,5.288623177,10.27639927,14.18040727,0.001512964,79.05168162,14,2,1,0,54605.00213,1000.017,841.2139688,0.841199668,0.16191536,6,0.5,1: Needles,2,FALSE,1750695653,397.5667333,404.8293333,14.03968667,10.20239,395.0027333,14.08468667,800.007,101.4139667,0.099846223,21.97917667,21.54632333,999.9,0,0,10012.89133,0,0.00152894,-7.285946333,403.2441,409.0020333,3.934756333,404.8293333,10.20239,1.433703333,1.034663667,12.27884333,7.413608,1000.017,0.960013,0.0399868,0,1.106666667,0,8829.523,7947.101667,37.47893333,39.7164,38.91646667,39.0248,37.34973333,960.0283333,39.98966667,0,1750695677,0,1750695687,9:21:26,1750695678,1750695687,4,0.027,-0.007,2.564,-0.045,405,10,0.12,0.02,-7.287640488,-0.004489965,0.018260906,1,3.963292439,-0.511472195,0.050932961,0,1,2,2-Jan,3.44586,2.78036,0.0970526,0.0987991,0.0828288,0.0649571,27378.5,31087.4,29437.9,35067.4,31213.9,40717.7,36228.2,46434.8,2.56055,2.3539,0.0808202,0,20.2318,999.9,72.6,19.6,16.3881,61.5182,25.8574,2,-0.560201,0,20.2925,5.21549,11.968,4.9917,3.2719,2650,9999,9999,999.9,4.97252,1.86218,1.86386,1.86225,1.86234,1.86295,1.85944,1.86234,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.564,-0.045,2.820570694,-0.001033731,9.12024E-07,-2.25E-10,-0.053587328,-0.018148581,0.00209196,-1.91E-05,2,2210,1,26,3.8,12.9,1.2439,2.34375,2.34741,2.79541,2.39868,2.24854,25.6962,14.2809,18,785.909,686.386,20.7005,19.7947,30.0008,19.5762,19.5194,24.9564,38.2104,91.2279,-999.9,405,10.3982,101.058,101.376
5,high,control,06pre,5.118857143,7.911911367,0.347261023,5,1750695961,1098,20250623 09:26:01,9:26:01,15,1750695953,0.003930577,3.930577268,9.273841187,396.8297667,351.8790664,35.71895652,40.28186538,0.407037368,3,0.378657516,0.239045667,161.9132567,22.4151822,21.11510667,2.513642204,54.18964533,1.480677908,2.732400072,1.032964296,-173.3384575,220.9594102,15.0827051,224.6169145,9.273841187,3.930577268,9.187271543,409.7862329,402.804697,0.00277615,66.97155657,3.949540748,11.76477146,14.64964545,0.008314007,79.07893723,237,30,1,0,54433.43623,999.9793333,841.1829276,0.841200312,0.161916603,6,0.5,1: Needles,2,FALSE,1750695953,396.8297667,404.9550333,14.58664,11.68168667,394.3257667,14.52794,799.9942667,101.4092667,0.099916263,22.48128,21.11510667,999.9,0,0,9998.286333,0,0.00152894,-8.061799,402.7682667,409.7416,2.904961,404.9550333,11.68168667,1.479220333,1.18463,12.75499667,9.409487667,999.9793333,0.959991567,0.040008133,0,3.972166667,0,7594.960333,7946.718667,37.78303333,41.28723333,39.31643333,40.68106667,37.7185,959.9716667,40.00966667,0,1750695978,0,1750695982,9:26:21,1750695982,1750695687,5,-0.06,-0.007,2.504,-0.045,405,10,0.29,0.02,-8.058053,-0.116717448,0.021087092,0,2.952058,-0.816935009,0.083585456,0,0,2,0/2,3.44666,2.78064,0.0967855,0.0986907,0.0847097,0.0717057,27373,31075.6,29424.9,35052,31136.6,40404.6,36213.4,46413.7,2.17703,2.34483,0.0312552,0,20.6417,999.9,71.7,20.2,16.798,61.4182,25.7051,2,-0.530196,0,20.2947,5.21579,11.968,4.9921,3.2719,2659.7,9999,9999,999.9,4.9725,1.86221,1.86389,1.86234,1.86243,1.86304,1.85946,1.86234,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.504,0.0606,2.847086322,-0.001033731,9.12024E-07,-2.25E-10,-0.060640808,-0.018148581,0.00209196,-1.91E-05,2,2210,1,26,4.7,4.6,1.25122,2.34497,2.34863,2.79053,2.39868,2.26562,26.3134,14.2546,18,522.572,686.372,21.2582,20.2964,30.0006,20.1119,20.0483,25.1092,32.5533,85.1983,-999.9,405,11.8599,101.015,101.33
6,high,control,06pre,4.774992449,10.02124286,0.230465079,6,1750696260,1397,20250623 09:31:00,9:31:00,15,1750696252,0.003208059,3.208058584,12.59215754,394.5816667,315.2474073,32.00083977,40.05407943,0.289590086,3,0.274908023,0.173074587,161.9179869,22.97159042,22.17622667,2.682160065,54.46239641,1.522110172,2.794791035,1.160049892,-141.4753836,109.5157586,7.530170385,137.4885322,12.59215754,3.208058584,12.60225844,410.1993493,400.6235273,0.000852216,66.972842,3.260703243,12.65994511,15.04722545,0.005286751,79.0738398,302,38,1,0,54381.36193,1000.008833,841.207719,0.841200288,0.161916557,6,0.5,1: Needles,2,FALSE,1750696252,394.5816667,404.9755333,14.99464667,12.62459667,392.0729667,14.92366,799.9717,101.4103333,0.099906037,22.85335333,22.17622667,999.9,0,0,10001.318,0,0.00152894,-10.39384,400.5883667,410.1535667,2.370052,404.9755333,12.62459667,1.520612,1.280264,13.17695667,10.56907,1000.008833,0.959991567,0.040008033,0,2.640666667,0,7194.241,7946.957667,36.38723333,39.77266667,37.8789,38.5643,36.47683333,959.9996667,40.01,0,1750696277,0,1750695982,9:26:21,1750695982,1750695687,5,-0.06,-0.007,2.504,-0.045,405,10,0.29,0.02,-10.3848439,-0.181239721,0.024861676,0,2.378343902,-0.111639721,0.016522594,0,0,2,0/2,3.4469,2.78054,0.0962486,0.0985843,0.0862613,0.0756491,27370.4,31061,29406.1,35033.5,31062.4,40210.9,36188.7,46388.5,2.04725,2.33275,0.0769868,0,20.9068,999.9,70.6,20.8,17.1647,61.5782,25.7973,2,-0.501052,0,20.2939,5.2092,11.968,4.9907,3.27125,2669.1,9999,9999,999.9,4.97257,1.86232,1.86401,1.86245,1.86249,1.8631,1.85957,1.86237,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.508,0.0726,2.787340439,-0.001033731,9.12024E-07,-2.25E-10,-0.060640808,-0.018148581,0.00209196,-1.91E-05,2,2210,1,26,4.6,9.6,1.25488,2.35229,2.34741,2.78564,2.39868,2.26807,26.8924,14.2108,18,454.273,682.845,21.7543,20.7567,30.0005,20.5781,20.5107,25.1564,28.774,77.0795,-999.9,405,12.6826,100.948,101.276
7,high,control,06pre,4.695322377,4.815122032,0.17698493,7,1750696517,1653.9,20250623 09:35:17,9:35:17,15,1750696509,0.002885532,2.885531701,6.153088089,399.2804,346.3111323,35.15376891,40.53063735,0.226163295,3,0.217100164,0.136471626,161.9146012,23.22583456,22.69993,2.768914908,51.26505775,1.44775343,2.824055006,1.321161478,-127.251948,52.63590296,3.631972888,90.93052909,6.153088089,2.885531701,5.921875673,409.9612014,405.3855333,0.023146956,66.97053592,3.015198536,12.53184955,14.57075212,0.046549319,79.08596783,74,9,1,0,54322.93956,999.9881,841.1902633,0.841200274,0.161916528,6,0.5,1: Needles,2,FALSE,1750696509,399.2804,404.7592333,14.26228667,12.12903667,396.8794,14.21128667,800.0124,101.4094667,0.099741773,23.02537333,22.69993,999.9,0,0,9996.261333,0,0.00152894,-5.373197,405.1639333,409.7288667,2.131437667,404.7592333,12.12903667,1.446146333,1.229998333,12.4093,9.963967333,999.9881,0.959992833,0.040007167,0,1.682666667,0,7916.1,7946.803,38.56223333,41.88736667,40.02273333,41.66013333,38.5081,959.98,40.00866667,0,1750696534,0,1750696537,9:35:36,1750696534,1750696537,6,-0.104,0.039,2.401,0.051,405,13,0.13,0.04,-5.4246935,0.98185621,0.104015685,0,2.30265,-3.450433171,0.346006123,0,0,2,0/2,3.44714,2.78065,0.0971349,0.0985227,0.0843272,0.0756201,27343.7,31063.7,29406.6,35034.6,31131.5,40214.3,36190.8,46390.7,2.44912,2.32603,0.111319,0,20.9943,999.9,69.6,21.3,17.448,62.0682,25.7131,2,-0.497752,0,20.2941,5.21654,11.9682,4.9918,3.2719,2677.7,9999,9999,999.9,4.97258,1.86234,1.86401,1.86248,1.86251,1.8631,1.85959,1.86247,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.401,0.051,2.787340439,-0.001033731,9.12024E-07,-2.25E-10,-0.060640808,-0.018148581,0.00209196,-1.91E-05,2,2210,1,26,8.9,13.8,1.25488,2.34375,2.34741,2.78076,2.39868,2.26318,27.2869,14.1933,18,713.541,679.318,21.9472,20.8583,30,20.7035,20.657,25.1749,28.3378,70.4142,-999.9,405,13.0503,100.952,101.28
8,high,control,06pre,4.496,-21.06869675,-0.045845689,8,1750697098,2234.9,20250623 09:44:58,9:44:58,15,1750697090,-0.000846738,-0.846738072,-28.11658818,426.352,-303.1507753,-30.77505401,43.28211206,-0.061181969,3,-0.061883753,-0.038613627,161.917073,24.72485007,23.34133548,2.87850531,52.05768739,1.519561009,2.918994457,1.358944301,37.34114896,37.4544055,2.600031452,239.3126589,-28.11658818,-0.846738072,-28.19198666,411.3853816,432.8175758,0.014071308,66.95934195,-0.915427369,15.60395403,14.92762848,-1.21E-05,79.09801187,801,100,1,0,54209.64527,1000.002742,841.2026325,0.841200326,0.161916629,6,0.5,1: Needles,2,FALSE,1750697090,426.352,404.992129,14.96849032,15.5940871,423.9599032,14.82349032,799.9373226,101.4201935,0.097125616,23.5729129,23.34133548,999.9,0,0,9992.660645,0,0.00152894,21.35989677,432.8139677,411.4076129,-0.66398371,404.992129,15.5940871,1.514213226,1.581555806,13.11244839,13.78025484,1000.002742,0.959987419,0.040012477,0,2.614032258,0,6663.220968,7946.894516,36.43522581,38.71141935,37.82235484,37.77593548,36.55616129,959.9916129,40.01096774,0,1750697115,0,1750697116,9:45:15,1750696534,1750697116,7,-0.104,0.017,2.401,0.145,405,16,0.13,0.15,21.36395,-0.076007505,0.024433287,1,-0.659565525,-0.123577812,0.011920515,0,1,2,2-Jan,3.44852,2.77896,0.101969,0.0984985,0.0854664,0.0880614,27181.6,31049.2,29390.4,35018.7,31076,39653.9,36171.4,46370,0.292,2.32,0.105962,0,21.6001,999.9,68.1,22.3,18.1456,61.8682,25.7612,2,-0.472973,0,20.2927,5.21504,11.9682,4.9925,3.27195,2694.4,9999,9999,999.9,4.97261,1.86244,1.86417,1.86256,1.86263,1.86322,1.85972,1.86249,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.392,0.145,2.683567295,-0.001033731,9.12024E-07,-2.25E-10,-0.021862024,-0.018148581,0.00209196,-1.91E-05,2,2210,1,26,9.4,9.4,1.25977,2.35718,2.34741,2.77222,2.39868,2.2522,28.0384,14.1145,18,-1.49203,678.718,22.474,21.2098,30.0005,21.2381,20.975,25.2695,18.7054,69.6879,-999.9,405,15.5543,100.898,101.234
9,high,control,06pre,4.88665998,5.349133602,0.582244519,9,1750697257,2393.4,20250623 09:47:36,9:47:36,15,1750697249,0.008005772,8.005771983,6.567840149,397.6756129,373.6370275,37.93301055,40.3734965,0.71489875,3,0.632026881,0.401659105,161.9116965,22.2363496,23.05369677,2.828898992,54.56867373,1.570781442,2.878540626,1.258117549,-353.0545445,46.55440328,3.223261225,-141.3651835,6.567840149,8.005771983,6.550112821,408.8901132,403.928097,0.000611117,66.9642026,7.913217514,9.598123452,15.44476182,-0.00085996,79.1300675,88,11,1,0,54297.81891,999.9793548,841.1821355,0.841199502,0.161915039,6,0.5,1: Needles,2,FALSE,1750697249,397.6756129,404.989129,15.47206774,9.560750645,395.2956129,15.3321129,800.0152258,101.4235161,0.100176016,23.34153871,23.05369677,999.9,0,0,10001.12323,0,0.00152894,-7.290006129,403.9490323,408.8985806,5.911322581,404.989129,9.560750645,1.569231613,0.969684677,13.65993226,6.468615806,999.9793548,0.960015387,0.039984932,0,3.757580645,0,5964.943226,7946.802258,36.87670968,40.25977419,38.35258065,39.33241935,36.98558065,959.9967742,39.98258065,0,1750697273,0,1750697276,9:47:55,1750697276,1750697116,8,-0.021,0.017,2.38,0.145,405,16,0.23,0.15,-7.281222683,-0.168822857,0.030442445,0,5.939358049,-0.485285226,0.048999105,0,0,2,0/2,3.44557,2.78054,0.0967152,0.0984129,0.087543,0.0614292,27335.2,31047.5,29385.4,35014.5,30999,40813.1,36165.3,46365.8,2.42022,2.30172,0.0900514,0,21.5893,999.9,67.6,22.5,18.2317,61.9382,26.1538,2,-0.464299,0,20.2944,5.21415,11.9692,4.99145,3.27185,2699.4,9999,9999,999.9,4.97259,1.86246,1.86417,1.8626,1.86264,1.86325,1.85973,1.86249,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.38,0.1391,2.683567295,-0.001033731,9.12024E-07,-2.25E-10,-0.004758438,-0.018148581,0.00209196,-1.91E-05,2,2210,1,26,12,2.4,1.25488,2.35962,2.34741,2.76733,2.39868,2.23267,28.2272,14.097,18,697.815,665.574,22.5261,21.3456,30.0003,21.167,21.1091,25.1618,46.4395,65.5266,-999.9,405,9.73124,100.88,101.224
10,high,control,06pre,4.749844042,7.508609978,0.149048714,10,1750697452,2588.4,20250623 09:50:51,9:50:51,15,1750697444,0.002332568,2.332567896,9.484871391,397.178,306.9872905,31.16722809,40.32394076,0.188278242,3,0.181951475,0.114270396,161.9149336,24.04583846,23.3183871,2.87451988,54.43758172,1.601674738,2.942222427,1.272845142,-102.8662442,62.44835652,4.337460452,125.8345063,9.484871391,2.332567896,9.573021788,410.7938212,403.5148909,-0.001002189,66.95994497,2.369621609,14.11520595,15.82745394,0.009071254,79.19179286,108,13,1,0,54223.46372,999.9905161,841.1922653,0.841200243,0.161916469,6,0.5,1: Needles,2,FALSE,1750697444,397.178,404.9867742,15.7759871,14.05409677,394.818,15.62634839,799.9705806,101.4262903,0.099828345,23.7045,23.3183871,999.9,0,0,9999.312903,0,0.00152894,-7.785716774,403.5676452,410.7595806,1.721884516,404.9867742,14.05409677,1.600097419,1.425454194,13.95973548,12.1911,999.9905161,0.959992806,0.040007535,0,2.320645161,0,8698.719032,7946.814839,38.54209677,41.9553871,39.97358065,41.79412903,38.57632258,959.9832258,40.00774194,0,1750697468,0,1750697469,9:51:08,1750697469,1750697116,9,-0.02,0.017,2.36,0.145,405,16,0.13,0.15,-7.767161463,-0.367855192,0.041720981,0,1.717313659,0.038307805,0.01886125,1,1,2,2-Jan,3.44788,2.78093,0.0965859,0.0984209,0.089089,0.0818611,27339.1,31043.2,29385.7,35010.2,30947.7,39915.4,36167.7,46359.1,2.38538,2.30658,0.101604,0,21.6543,999.9,67,22.8,18.4025,61.4582,25.8053,2,-0.456377,0,20.2941,5.21235,11.97,4.9912,3.27155,2705.7,9999,9999,999.9,4.97262,1.86245,1.86417,1.86263,1.86264,1.86325,1.85974,1.86253,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,2.36,0.1514,2.662871827,-0.001033731,9.12024E-07,-2.25E-10,-0.004758438,-0.018148581,0.00209196,-1.91E-05,2,2210,1,26,2.9,5.6,1.25977,2.36694,2.34741,2.76611,2.39868,2.26196,28.4163,14.0795,18,673.629,671.429,22.6443,21.4656,30.0005,21.3017,21.2506,25.266,26.7005,61.2063,-999.9,405,14.195,100.885,101.21
